Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz00269bgp,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_001.tif,1,,,,,,,,,,,,,,,,p. 1,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269bh6,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_002.tif,2,,,,,,,,,,,,,,,,p. 2,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269bjq,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_002a.tif,3,,,,,,,,,,,,,,,,p. 2a,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269bk7,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_002b.tif,4,,,,,,,,,,,,,,,,p. 2b,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269bmr,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_003.tif,5,,,,,,,,,,,,,,,,p. 3,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269bn8,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_004.tif,6,,,,,,,,,,,,,,,,p. 4,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269bps,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_005.tif,7,,,,,,,,,,,,,,,,p. 5,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269bq9,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_006.tif,8,,,,,,,,,,,,,,,,p. 6,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269brt,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_007.tif,9,,,,,,,,,,,,,,,,p. 7,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269bsb,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_008.tif,10,,,,,,,,,,,,,,,,p. 8,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269btv,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_009.tif,11,,,,,,,,,,,,,,,,p. 9,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269bvc,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_010.tif,12,,,,,,,,,,,,,,,,p. 10,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269bww,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_011.tif,13,,,,,,,,,,,,,,,,p. 11,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269bxd,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_012.tif,14,,,,,,,,,,,,,,,,p. 12,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269bzx,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_013.tif,15,,,,,,,,,,,,,,,,p. 13,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269c0x,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_014.tif,16,,,,,,,,,,,,,,,,p. 14,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269c1f,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_015.tif,17,,,,,,,,,,,,,,,,p. 15,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269c2z,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_016.tif,18,,,,,,,,,,,,,,,,p. 16,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269c3g,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_017.tif,19,,,,,,,,,,,,,,,,p. 17,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269c40,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_018.tif,20,,,,,,,,,,,,,,,,p. 18,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269c5h,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_019.tif,21,,,,,,,,,,,,,,,,p. 19,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269c61,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_020.tif,22,,,,,,,,,,,,,,,,p. 20,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269c7j,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_021.tif,23,,,,,,,,,,,,,,,,p. 21,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269c82,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_022.tif,24,,,,,,,,,,,,,,,,p. 22,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269c9k,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_023.tif,25,,,,,,,,,,,,,,,,p. 23,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269cb3,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_024.tif,26,,,,,,,,,,,,,,,,p. 24,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269ccm,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_025.tif,27,,,,,,,,,,,,,,,,p. 25,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269cd4,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_026.tif,28,,,,,,,,,,,,,,,,p. 26,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269cfn,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_027.tif,29,,,,,,,,,,,,,,,,p. 27,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269cg5,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_028.tif,30,,,,,,,,,,,,,,,,p. 28,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269chp,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_029.tif,31,,,,,,,,,,,,,,,,p. 29,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269cj6,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_030.tif,32,,,,,,,,,,,,,,,,p. 30,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00269ckq,ark:/21198/zz00269bf5,2,Completed,ChildWork,stgall/masters/csg-0206/csg-0206_031.tif,33,,,,,,,,,,,,,,,,p. 31,,,,,,,,,,,
