Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz0026fqnc,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_000a.tif,1,,,,,,,,,,,,,,,,Front flyleaf (recto),,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fqpw,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_000b.tif,2,,,,,,,,,,,,,,,,Front flyleaf (verso),,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fqqd,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_001.tif,3,,,,,,,,,,,,,,,,p. 1,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fqrx,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_002.tif,4,,,,,,,,,,,,,,,,p. 2,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fqsf,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_003.tif,5,,,,,,,,,,,,,,,,p. 3,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fqtz,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_004.tif,6,,,,,,,,,,,,,,,,p. 4,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fqvg,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_005.tif,7,,,,,,,,,,,,,,,,p. 5,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fqw0,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_006.tif,8,,,,,,,,,,,,,,,,p. 6,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fqxh,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_007.tif,9,,,,,,,,,,,,,,,,p. 7,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fqz1,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_008.tif,10,,,,,,,,,,,,,,,,p. 8,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fr01,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_009.tif,11,,,,,,,,,,,,,,,,p. 9,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fr1j,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_010.tif,12,,,,,,,,,,,,,,,,p. 10,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fr22,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_011.tif,13,,,,,,,,,,,,,,,,p. 11,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fr3k,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_012.tif,14,,,,,,,,,,,,,,,,p. 12,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fr43,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_013.tif,15,,,,,,,,,,,,,,,,p. 13,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fr5m,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_014.tif,16,,,,,,,,,,,,,,,,p. 14,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fr64,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_015.tif,17,,,,,,,,,,,,,,,,p. 15,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fr7n,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_016.tif,18,,,,,,,,,,,,,,,,p. 16,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fr85,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_017.tif,19,,,,,,,,,,,,,,,,p. 17,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026fr9p,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_018.tif,20,,,,,,,,,,,,,,,,p. 18,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frb6,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_019.tif,21,,,,,,,,,,,,,,,,p. 19,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frcq,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_020.tif,22,,,,,,,,,,,,,,,,p. 20,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frd7,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_021.tif,23,,,,,,,,,,,,,,,,p. 21,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frfr,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_022.tif,24,,,,,,,,,,,,,,,,p. 22,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frg8,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_023.tif,25,,,,,,,,,,,,,,,,p. 23,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frhs,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_024.tif,26,,,,,,,,,,,,,,,,p. 24,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frj9,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_025.tif,27,,,,,,,,,,,,,,,,p. 25,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frkt,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_026.tif,28,,,,,,,,,,,,,,,,p. 26,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frmb,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_027.tif,29,,,,,,,,,,,,,,,,p. 27,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frnv,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_028.tif,30,,,,,,,,,,,,,,,,p. 28,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frpc,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_029.tif,31,,,,,,,,,,,,,,,,p. 29,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frqw,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_030.tif,32,,,,,,,,,,,,,,,,p. 30,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frrd,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_031.tif,33,,,,,,,,,,,,,,,,p. 31,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frsx,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_032.tif,34,,,,,,,,,,,,,,,,p. 32,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frtf,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_033.tif,35,,,,,,,,,,,,,,,,p. 33,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026frvz,ark:/21198/zz0026fqmv,2,Completed,ChildWork,stgall/masters/csg-0844/csg-0844_034.tif,36,,,,,,,,,,,,,,,,p. 34,,,,,,,,,,,
