"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject.topic","Author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","AltIdentifier.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Summary","Bucketeer State"
"St Gall Manuscripts","ark:/21198/zz001d12th","ark:/21198/zz0018047k","2","Completed","Page","StGall/masters/karlsruhe_172/21198-zz001d12th_755560_master.tif","1","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d12th","","","","","","","","","","","","","","","Front cover","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001nwqc2","ark:/21198/zz0018047k","2","Completed","Page","StGall/masters/karlsruhe_172/21198-zz001nwqc2_1453160_master.tif","2","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwqc2","","","","","","","","","","","","","","","Inside front cover (missing)","","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d12v1","ark:/21198/zz0018047k","2","Completed","Page","StGall/masters/karlsruhe_172/21198-zz001d12v1_755568_master.tif","3","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d12v1","","","","","","","","","","","","","","","f. 1r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d12wj","ark:/21198/zz0018047k","2","Completed","Page","StGall/masters/karlsruhe_172/21198-zz001d12wj_755574_master.tif","4","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d12wj","","","","","","","","","","","","","","","f. 1v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d12x2","ark:/21198/zz0018047k","2","Completed","Page","StGall/masters/karlsruhe_172/21198-zz001d12x2_755586_master.tif","5","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d12x2","","","","","","","","","","","","","","","f. 2r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d12zk","ark:/21198/zz0018047k","2","Completed","Page","StGall/masters/karlsruhe_172/21198-zz001d12zk_755592_master.tif","6","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d12zk","","","","","","","","","","","","","","","f. 2v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d130k","ark:/21198/zz0018047k","2","Completed","Page","StGall/masters/karlsruhe_172/21198-zz001d130k_755603_master.tif","7","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d130k","","","","","","","","","","","","","","","f. 3r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1313","ark:/21198/zz0018047k","2","Completed","Page","StGall/masters/karlsruhe_172/21198-zz001d1313_755610_master.tif","8","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1313","","","","","","","","","","","","","","","f. 3v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d132m","ark:/21198/zz0018047k","2","Completed","Page","StGall/masters/karlsruhe_172/21198-zz001d132m_755620_master.tif","9","","","","","","","","","","","","","","","","f. 4r","r","","","","","","","","","","","failed"
"St Gall Manuscripts","ark:/21198/zz001d1334","ark:/21198/zz0018047k","2","Completed","Page","StGall/masters/karlsruhe_172/21198-zz001d1334_755634_master.tif","10","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1334","","","","","","","","","","","","","","","f. 4v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d134n","ark:/21198/zz0018047k","2","Completed","Page","StGall/masters/karlsruhe_172/21198-zz001d134n_755643_master.tif","11","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d134n","","","","","","","","","","","","","","","f. 5r","r","","","","","","","","","","","succeeded"
