Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz002632zc,ark:/21198/zz002632xv,2,Completed,ChildWork,stgall/masters/csg-0161/csg-0161_003.tif,1,,,,,,,,,,,,,,,,p. 3,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026330c,ark:/21198/zz002632xv,2,Completed,ChildWork,stgall/masters/csg-0161/csg-0161_004.tif,2,,,,,,,,,,,,,,,,p. 4,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026331w,ark:/21198/zz002632xv,2,Completed,ChildWork,stgall/masters/csg-0161/csg-0161_005.tif,3,,,,,,,,,,,,,,,,p. 5,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026332d,ark:/21198/zz002632xv,2,Completed,ChildWork,stgall/masters/csg-0161/csg-0161_006.tif,4,,,,,,,,,,,,,,,,p. 6,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026333x,ark:/21198/zz002632xv,2,Completed,ChildWork,stgall/masters/csg-0161/csg-0161_007.tif,5,,,,,,,,,,,,,,,,p. 7,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026334f,ark:/21198/zz002632xv,2,Completed,ChildWork,stgall/masters/csg-0161/csg-0161_008.tif,6,,,,,,,,,,,,,,,,p. 8,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026335z,ark:/21198/zz002632xv,2,Completed,ChildWork,stgall/masters/csg-0161/csg-0161_009.tif,7,,,,,,,,,,,,,,,,p. 9,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026336g,ark:/21198/zz002632xv,2,Completed,ChildWork,stgall/masters/csg-0161/csg-0161_010.tif,8,,,,,,,,,,,,,,,,p. 10,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00263370,ark:/21198/zz002632xv,2,Completed,ChildWork,stgall/masters/csg-0161/csg-0161_011.tif,9,,,,,,,,,,,,,,,,p. 11,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0026338h,ark:/21198/zz002632xv,2,Completed,ChildWork,stgall/masters/csg-0161/csg-0161_012.tif,10,,,,,,,,,,,,,,,,p. 12,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00263391,ark:/21198/zz002632xv,2,Completed,ChildWork,stgall/masters/csg-0161/csg-0161_013.tif,11,,,,,,,,,,,,,,,,p. 13,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002633bj,ark:/21198/zz002632xv,2,Completed,ChildWork,stgall/masters/csg-0161/csg-0161_014.tif,12,,,,,,,,,,,,,,,,p. 14,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002633c2,ark:/21198/zz002632xv,2,Completed,ChildWork,stgall/masters/csg-0161/csg-0161_015.tif,13,,,,,,,,,,,,,,,,p. 15,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002633dk,ark:/21198/zz002632xv,2,Completed,ChildWork,stgall/masters/csg-0161/csg-0161_016.tif,14,,,,,,,,,,,,,,,,p. 16,,,,,,,,,,,
