"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject.topic","Author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","AltIdentifier.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Summary","Bucketeer State"
"St Gall Manuscripts","ark:/21198/zz0019t9qd","ark:/21198/zz0017n1jw","2","Completed","Page","StGall/masters/karlsruhe_136/21198-zz0019t9qd_741981_master.tif","1","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019t9qd","","","","","","","","","","","","","","","Front cover","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz0019t9rx","ark:/21198/zz0017n1jw","2","Completed","Page","StGall/masters/karlsruhe_136/21198-zz0019t9rx_741987_master.tif","2","","","","","","","","","","","","","","","","Inside front cover","v","","","","","","","","","","","failed"
"St Gall Manuscripts","ark:/21198/zz0019srjn","ark:/21198/zz0017n1jw","2","Completed","Page","StGall/masters/karlsruhe_136/21198-zz0019srjn_740187_master.tif","4","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019srjn","","","","","","","","","","","","","","","f. 1r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz0019srk5","ark:/21198/zz0017n1jw","2","Completed","Page","StGall/masters/karlsruhe_136/21198-zz0019srk5_740191_master.tif","5","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019srk5","","","","","","","","","","","","","","","f. 1v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz0019srmp","ark:/21198/zz0017n1jw","2","Completed","Page","StGall/masters/karlsruhe_136/21198-zz0019srmp_740200_master.tif","6","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019srmp","","","","","","","","","","","","","","","f. 2r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz0019srn6","ark:/21198/zz0017n1jw","2","Completed","Page","StGall/masters/karlsruhe_136/21198-zz0019srn6_740209_master.tif","7","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019srn6","","","","","","","","","","","","","","","f. 2v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz0019srpq","ark:/21198/zz0017n1jw","2","Completed","Page","StGall/masters/karlsruhe_136/21198-zz0019srpq_740223_master.tif","8","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019srpq","","","","","","","","","","","","","","","f. 3r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz0019srq7","ark:/21198/zz0017n1jw","2","Completed","Page","StGall/masters/karlsruhe_136/21198-zz0019srq7_740230_master.tif","9","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019srq7","","","","","","","","","","","","","","","f. 3v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz0019srrr","ark:/21198/zz0017n1jw","2","Completed","Page","StGall/masters/karlsruhe_136/21198-zz0019srrr_740239_master.tif","10","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019srrr","","","","","","","","","","","","","","","f. 4r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz0019srs8","ark:/21198/zz0017n1jw","2","Completed","Page","StGall/masters/karlsruhe_136/21198-zz0019srs8_740248_master.tif","11","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019srs8","","","","","","","","","","","","","","","f. 4v","v","","","","","","","","","","","succeeded"
