"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject.topic","Author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","AltIdentifier.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Summary","Bucketeer State"
"St Gall Manuscripts","ark:/21198/zz001d1tt4","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1tt4_757636_master.tif","1","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1tt4","","","","","","","","","","","","","","","Front cover","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001nwqf3","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001nwqf3_1453166_master.tif","2","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwqf3","","","","","","","","","","","","","","","Inside front cover (missing)","","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1tvn","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1tvn_757643_master.tif","3","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1tvn","","","","","","","","","","","","","","","f. 1r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1tw5","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1tw5_757649_master.tif","4","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1tw5","","","","","","","","","","","","","","","f. 1v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1txp","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1txp_757655_master.tif","5","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1txp","","","","","","","","","","","","","","","f. 2r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1tz6","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1tz6_757658_master.tif","6","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1tz6","","","","","","","","","","","","","","","f. 2v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1v06","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1v06_757666_master.tif","7","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1v06","","","","","","","","","","","","","","","f. 3r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1v1q","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1v1q_757672_master.tif","8","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1v1q","","","","","","","","","","","","","","","f. 3v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1v27","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1v27_757679_master.tif","9","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1v27","","","","","","","","","","","","","","","f. 4r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1v3r","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1v3r_757687_master.tif","10","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1v3r","","","","","","","","","","","","","","","f. 4v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1v48","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1v48_757694_master.tif","11","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1v48","","","","","","","","","","","","","","","f. 5r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1v5s","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1v5s_757700_master.tif","12","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1v5s","","","","","","","","","","","","","","","f. 5v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1v69","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1v69_757708_master.tif","13","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1v69","","","","","","","","","","","","","","","f. 6r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1v7t","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1v7t_757711_master.tif","14","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1v7t","","","","","","","","","","","","","","","f. 6v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1v8b","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1v8b_757715_master.tif","15","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1v8b","","","","","","","","","","","","","","","f. 7r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1v9v","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1v9v_757725_master.tif","16","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1v9v","","","","","","","","","","","","","","","f. 7v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1vbc","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vbc_757732_master.tif","17","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1vbc","","","","","","","","","","","","","","","f. 8r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1vcw","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vcw_757752_master.tif","18","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1vcw","","","","","","","","","","","","","","","f. 8v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1vdd","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vdd_757758_master.tif","19","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1vdd","","","","","","","","","","","","","","","f. 9r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1vfx","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vfx_757763_master.tif","20","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1vfx","","","","","","","","","","","","","","","f. 9v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1vgf","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vgf_757768_master.tif","21","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1vgf","","","","","","","","","","","","","","","f. 10r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1vhz","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vhz_757773_master.tif","22","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1vhz","","","","","","","","","","","","","","","f. 10v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1vjg","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vjg_757777_master.tif","23","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1vjg","","","","","","","","","","","","","","","f. 11r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1vk0","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vk0_757780_master.tif","24","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1vk0","","","","","","","","","","","","","","","f. 11v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1vmh","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vmh_757783_master.tif","25","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1vmh","","","","","","","","","","","","","","","f. 12r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1vn1","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vn1_757786_master.tif","26","","","","","","","","","","","","","","","","f. 12v","v","","","","","","","","","","","failed"
"St Gall Manuscripts","ark:/21198/zz001d1vpj","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vpj_757791_master.tif","27","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1vpj","","","","","","","","","","","","","","","f. 13r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1vq2","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vq2_757796_master.tif","28","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1vq2","","","","","","","","","","","","","","","f. 13v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1vrk","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vrk_757799_master.tif","29","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1vrk","","","","","","","","","","","","","","","f. 14r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1vs3","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vs3_757802_master.tif","30","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1vs3","","","","","","","","","","","","","","","f. 14v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d1vtm","ark:/21198/zz00180483","2","Completed","Page","StGall/masters/karlsruhe_181/21198-zz001d1vtm_757805_master.tif","31","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d1vtm","","","","","","","","","","","","","","","f. 15r","r","","","","","","","","","","","succeeded"
