"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject.topic","Author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","AltIdentifier.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Summary","Bucketeer State"
"St Gall Manuscripts","ark:/21198/zz001d0mbj","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mbj_778915_master.tif","1","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mbj","","","","","","","","","","","","","","","Front cover","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001nwkps","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001nwkps_1452838_master.tif","2","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwkps","","","","","","","","","","","","","","","Inside front cover (missing)","","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mc2","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mc2_778919_master.tif","3","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mc2","","","","","","","","","","","","","","","f. 1r","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mdk","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mdk_778924_master.tif","4","","","","","","","","","","","","","","","","f. 1v","r","","","","","","","","","","","failed"
"St Gall Manuscripts","ark:/21198/zz001d0mf3","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mf3_778927_master.tif","5","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mf3","","","","","","","","","","","","","","","f. 2r","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mgm","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mgm_778931_master.tif","6","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mgm","","","","","","","","","","","","","","","f. 2v","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mh4","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mh4_778937_master.tif","7","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mh4","","","","","","","","","","","","","","","f. 3r","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mjn","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mjn_778942_master.tif","8","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mjn","","","","","","","","","","","","","","","f. 3v","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mk5","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mk5_778946_master.tif","9","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mk5","","","","","","","","","","","","","","","f. 4r","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mmp","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mmp_778951_master.tif","10","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mmp","","","","","","","","","","","","","","","f. 4v","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mn6","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mn6_778954_master.tif","11","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mn6","","","","","","","","","","","","","","","f. 5r","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mpq","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mpq_778957_master.tif","12","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mpq","","","","","","","","","","","","","","","f. 5v","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mq7","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mq7_778960_master.tif","13","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mq7","","","","","","","","","","","","","","","f. 6r","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mrr","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mrr_778964_master.tif","14","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mrr","","","","","","","","","","","","","","","f. 6v","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0ms8","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0ms8_778969_master.tif","15","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0ms8","","","","","","","","","","","","","","","f. 7r","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mts","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mts_778973_master.tif","16","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mts","","","","","","","","","","","","","","","f. 7v","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mv9","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mv9_778978_master.tif","17","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mv9","","","","","","","","","","","","","","","f. 8r","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mwt","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mwt_778981_master.tif","18","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mwt","","","","","","","","","","","","","","","f. 8v","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001d0mxb","ark:/21198/zz001804ns","2","Completed","Page","StGall/masters/karlsruhe_241/21198-zz001d0mxb_778985_master.tif","19","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d0mxb","","","","","","","","","","","","","","","f. 9r","v","","","","","","","","","","","succeeded"
