Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz001cbws6,ark:/21198/zz0017n1gv,2,Completed,Page,StGall/masters/karlsruhe_113/21198-zz001cbws6_753917_master.tif,1,,,,,,,,,,,,,,,,Front cover,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001nwq91,ark:/21198/zz0017n1gv,2,Completed,Page,StGall/masters/karlsruhe_113/21198-zz001nwq91_1453154_master.tif,2,,,,,,,,,,,,,,,,Inside front cover (missing),,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001cbwrp,ark:/21198/zz0017n1gv,2,Completed,Page,StGall/masters/karlsruhe_113/21198-zz001cbwrp_753914_master.tif,3,,,,,,,,,,,,,,,,Flyleaf r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001cbwtq,ark:/21198/zz0017n1gv,2,Completed,Page,StGall/masters/karlsruhe_113/21198-zz001cbwtq_753920_master.tif,4,,,,,,,,,,,,,,,,Flyleaf v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001cbwv7,ark:/21198/zz0017n1gv,2,Completed,Page,StGall/masters/karlsruhe_113/21198-zz001cbwv7_753923_master.tif,5,,,,,,,,,,,,,,,,f. 1r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001cbwwr,ark:/21198/zz0017n1gv,2,Completed,Page,StGall/masters/karlsruhe_113/21198-zz001cbwwr_753926_master.tif,6,,,,,,,,,,,,,,,,f. 1v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001cbwx8,ark:/21198/zz0017n1gv,2,Completed,Page,StGall/masters/karlsruhe_113/21198-zz001cbwx8_753929_master.tif,7,,,,,,,,,,,,,,,,f. 2r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001cbwzs,ark:/21198/zz0017n1gv,2,Completed,Page,StGall/masters/karlsruhe_113/21198-zz001cbwzs_753932_master.tif,8,,,,,,,,,,,,,,,,f. 2v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001cbx0s,ark:/21198/zz0017n1gv,2,Completed,Page,StGall/masters/karlsruhe_113/21198-zz001cbx0s_753935_master.tif,9,,,,,,,,,,,,,,,,f. 3r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001cbx19,ark:/21198/zz0017n1gv,2,Completed,Page,StGall/masters/karlsruhe_113/21198-zz001cbx19_753938_master.tif,10,,,,,,,,,,,,,,,,f. 3v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001cbx2t,ark:/21198/zz0017n1gv,2,Completed,Page,StGall/masters/karlsruhe_113/21198-zz001cbx2t_753941_master.tif,11,,,,,,,,,,,,,,,,f. 4r,r,,,,,,,,,,
