Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz0019t687,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019t687_741548_master.tif,1,,,,,,,,,,,,,,,,Front cover,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019t6hv,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019t6hv_741565_master.tif,2,,,,,,,,,,,,,,,,Inside front cover,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019sm72,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019sm72_739734_master.tif,3,,,,,,,,,,,,,,,,f. 1r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019sm8k,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019sm8k_739741_master.tif,4,,,,,,,,,,,,,,,,f. 1v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019sm93,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019sm93_739746_master.tif,5,,,,,,,,,,,,,,,,f. 2r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smbm,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smbm_739752_master.tif,6,,,,,,,,,,,,,,,,f. 2v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smc4,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smc4_739756_master.tif,7,,,,,,,,,,,,,,,,f. 3r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smdn,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smdn_739761_master.tif,8,,,,,,,,,,,,,,,,f. 3v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smf5,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smf5_739764_master.tif,9,,,,,,,,,,,,,,,,f. 4r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smgp,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smgp_739770_master.tif,10,,,,,,,,,,,,,,,,f. 4v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smh6,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smh6_739776_master.tif,11,,,,,,,,,,,,,,,,f. 5r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smjq,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smjq_739779_master.tif,12,,,,,,,,,,,,,,,,f. 5v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smk7,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smk7_739785_master.tif,13,,,,,,,,,,,,,,,,f. 6r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smmr,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smmr_739789_master.tif,14,,,,,,,,,,,,,,,,f. 6v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smn8,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smn8_739795_master.tif,15,,,,,,,,,,,,,,,,f. 7r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smps,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smps_739852_master.tif,16,,,,,,,,,,,,,,,,f. 7v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smq9,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smq9_739857_master.tif,17,,,,,,,,,,,,,,,,f. 8r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smrt,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smrt_739860_master.tif,18,,,,,,,,,,,,,,,,f. 8v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smsb,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smsb_739864_master.tif,19,,,,,,,,,,,,,,,,f. 9r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smtv,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smtv_739869_master.tif,20,,,,,,,,,,,,,,,,f. 9v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smvc,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smvc_739872_master.tif,21,,,,,,,,,,,,,,,,f. 10r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smww,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smww_739876_master.tif,22,,,,,,,,,,,,,,,,f. 10v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smxd,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smxd_739882_master.tif,23,,,,,,,,,,,,,,,,f. 11r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019smzx,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019smzx_739887_master.tif,24,,,,,,,,,,,,,,,,f. 11v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019sn0x,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019sn0x_739893_master.tif,25,,,,,,,,,,,,,,,,f. 12r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019sn1f,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019sn1f_739896_master.tif,26,,,,,,,,,,,,,,,,f. 12v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019sn2z,ark:/21198/zz0018045j,2,Completed,Page,StGall/masters/karlsruhe_125/21198-zz0019sn2z_739902_master.tif,27,,,,,,,,,,,,,,,,f. 13r,r,,,,,,,,,,
