Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz001bgpnm,ark:/21198/zz001804hq,2,Completed,Page,StGall/masters/karlsruhe_215/21198-zz001bgpnm_744321_master.tif,1,,,,,,,,,,,,,,,,Front cover,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019tfwx,ark:/21198/zz001804hq,2,Completed,Page,StGall/masters/karlsruhe_215/21198-zz0019tfwx_742153_master.tif,2,,,,,,,,,,,,,,,,Inside front cover,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019tg0z,ark:/21198/zz001804hq,2,Completed,Page,StGall/masters/karlsruhe_215/21198-zz0019tg0z_742163_master.tif,3,,,,,,,,,,,,,,,,f. 1r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019tfzz,ark:/21198/zz001804hq,2,Completed,Page,StGall/masters/karlsruhe_215/21198-zz0019tfzz_742169_master.tif,4,,,,,,,,,,,,,,,,f. 1v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019tg20,ark:/21198/zz001804hq,2,Completed,Page,StGall/masters/karlsruhe_215/21198-zz0019tg20_742181_master.tif,5,,,,,,,,,,,,,,,,f. 2r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019tg1g,ark:/21198/zz001804hq,2,Completed,Page,StGall/masters/karlsruhe_215/21198-zz0019tg1g_742175_master.tif,6,,,,,,,,,,,,,,,,f. 2v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019tg3h,ark:/21198/zz001804hq,2,Completed,Page,StGall/masters/karlsruhe_215/21198-zz0019tg3h_742187_master.tif,7,,,,,,,,,,,,,,,,f. 3r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019tg41,ark:/21198/zz001804hq,2,Completed,Page,StGall/masters/karlsruhe_215/21198-zz0019tg41_742193_master.tif,8,,,,,,,,,,,,,,,,f. 3v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019tg5j,ark:/21198/zz001804hq,2,Completed,Page,StGall/masters/karlsruhe_215/21198-zz0019tg5j_742199_master.tif,9,,,,,,,,,,,,,,,,f. 4r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0019tg62,ark:/21198/zz001804hq,2,Completed,Page,StGall/masters/karlsruhe_215/21198-zz0019tg62_742205_master.tif,10,,,,,,,,,,,,,,,,f. 4v,v,,,,,,,,,,
