Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz001d6mpd,ark:/21198/zz001804m8,2,Completed,Page,StGall/masters/karlsruhe_238/21198-zz001d6mpd_769914_master.tif,1,,,,,,,,,,,,,,,,Front cover,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001d6mqx,ark:/21198/zz001804m8,2,Completed,Page,StGall/masters/karlsruhe_238/21198-zz001d6mqx_769918_master.tif,2,,,,,,,,,,,,,,,,Inside front cover,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001d6mrf,ark:/21198/zz001804m8,2,Completed,Page,StGall/masters/karlsruhe_238/21198-zz001d6mrf_769921_master.tif,3,,,,,,,,,,,,,,,,f. 1r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001d6msz,ark:/21198/zz001804m8,2,Completed,Page,StGall/masters/karlsruhe_238/21198-zz001d6msz_769924_master.tif,4,,,,,,,,,,,,,,,,f. 1v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001d6mtg,ark:/21198/zz001804m8,2,Completed,Page,StGall/masters/karlsruhe_238/21198-zz001d6mtg_769930_master.tif,5,,,,,,,,,,,,,,,,f. 2r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001d6mv0,ark:/21198/zz001804m8,2,Completed,Page,StGall/masters/karlsruhe_238/21198-zz001d6mv0_769936_master.tif,6,,,,,,,,,,,,,,,,f. 2v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001d6mwh,ark:/21198/zz001804m8,2,Completed,Page,StGall/masters/karlsruhe_238/21198-zz001d6mwh_769942_master.tif,7,,,,,,,,,,,,,,,,f. 3r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001d6mx1,ark:/21198/zz001804m8,2,Completed,Page,StGall/masters/karlsruhe_238/21198-zz001d6mx1_769947_master.tif,8,,,,,,,,,,,,,,,,f. 3v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001d6mzj,ark:/21198/zz001804m8,2,Completed,Page,StGall/masters/karlsruhe_238/21198-zz001d6mzj_769956_master.tif,9,,,,,,,,,,,,,,,,f. 4r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001d6n0j,ark:/21198/zz001804m8,2,Completed,Page,StGall/masters/karlsruhe_238/21198-zz001d6n0j_769959_master.tif,10,,,,,,,,,,,,,,,,f. 4v,v,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001d6n12,ark:/21198/zz001804m8,2,Completed,Page,StGall/masters/karlsruhe_238/21198-zz001d6n12_769968_master.tif,11,,,,,,,,,,,,,,,,f. 5r,r,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz001d6n2k,ark:/21198/zz001804m8,2,Completed,Page,StGall/masters/karlsruhe_238/21198-zz001d6n2k_769972_master.tif,12,,,,,,,,,,,,,,,,f. 5v,v,,,,,,,,,,
