"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject.topic","Author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","AltIdentifier.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Summary","Bucketeer State"
"St Gall Manuscripts","ark:/21198/zz001drdk4","ark:/21198/zz001drdh3","2","Completed","Page","StGall/masters/karlsruhe_254/21198-zz001drdk4_776457_master.tif","1","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drdk4","","","","","","","","","","","","","","","Front cover","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001nwmm7","ark:/21198/zz001drdh3","2","Completed","Page","StGall/masters/karlsruhe_254/21198-zz001nwmm7_1452883_master.tif","2","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwmm7","","","","","","","","","","","","","","","Inside front cover (missing)","","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001drdmn","ark:/21198/zz001drdh3","2","Completed","Page","StGall/masters/karlsruhe_254/21198-zz001drdmn_776460_master.tif","3","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drdmn","","","","","","","","","","","","","","","f. 1r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001drdn5","ark:/21198/zz001drdh3","2","Completed","Page","StGall/masters/karlsruhe_254/21198-zz001drdn5_776463_master.tif","4","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drdn5","","","","","","","","","","","","","","","f. 1v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001drdpp","ark:/21198/zz001drdh3","2","Completed","Page","StGall/masters/karlsruhe_254/21198-zz001drdpp_776466_master.tif","5","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drdpp","","","","","","","","","","","","","","","f. 2r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001drdq6","ark:/21198/zz001drdh3","2","Completed","Page","StGall/masters/karlsruhe_254/21198-zz001drdq6_776469_master.tif","6","","","","","","","","","","","","","","","","f. 2v","v","","","","","","","","","","","failed"
"St Gall Manuscripts","ark:/21198/zz001drdrq","ark:/21198/zz001drdh3","2","Completed","Page","StGall/masters/karlsruhe_254/21198-zz001drdrq_776478_master.tif","7","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drdrq","","","","","","","","","","","","","","","f. 3r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001drds7","ark:/21198/zz001drdh3","2","Completed","Page","StGall/masters/karlsruhe_254/21198-zz001drds7_776490_master.tif","8","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drds7","","","","","","","","","","","","","","","f. 3v","v","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001drdtr","ark:/21198/zz001drdh3","2","Completed","Page","StGall/masters/karlsruhe_254/21198-zz001drdtr_776496_master.tif","9","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drdtr","","","","","","","","","","","","","","","f. 4r","r","","","","","","","","","","","succeeded"
"St Gall Manuscripts","ark:/21198/zz001drdv8","ark:/21198/zz001drdh3","2","Completed","Page","StGall/masters/karlsruhe_254/21198-zz001drdv8_776499_master.tif","10","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drdv8","","","","","","","","","","","","","","","f. 4v","v","","","","","","","","","","","succeeded"
