Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz0028fd22,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_001r.tif,1,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fd3k,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_001v.tif,2,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fd43,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_002r.tif,3,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fd5m,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_002v.tif,4,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fd64,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_003r.tif,5,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fd7n,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_003v.tif,6,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fd85,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_004r.tif,7,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fd9p,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_004v.tif,8,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdb6,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_005r.tif,9,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdcq,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_005v.tif,10,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdd7,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_006r.tif,11,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 6r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdfr,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_006v.tif,12,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 6v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdg8,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_007r.tif,13,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 7r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdhs,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_007v.tif,14,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 7v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdj9,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_008r.tif,15,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 8r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdkt,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_008v.tif,16,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 8v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdmb,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_009r.tif,17,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 9r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdnv,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_009v.tif,18,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 9v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdpc,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_010r.tif,19,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 10r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdqw,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_010v.tif,20,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 10v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdrd,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_011r.tif,21,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 11r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdsx,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_011v.tif,22,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 11v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdtf,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_012r.tif,23,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 12r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdvz,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_012v.tif,24,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 12v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdwg,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_013r.tif,25,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 13r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdx0,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_013v.tif,26,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 13v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028fdzh,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_014r.tif,27,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 14r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028ff0h,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_014v.tif,28,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 14v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028ff11,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_015r.tif,29,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 15r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028ff2j,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_015v.tif,30,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 15v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028ff32,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_016r.tif,31,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 16r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028ff4k,ark:/21198/zz00289pnx,2,Completed,Page,StGall/masters/karlsruhe_029/BLB_CodAugPerg_029_016v.tif,32,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 16v,,,,,,,,,,,
