Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz0028j28p,ark:/21198/zz00289pwj,2,Completed,Page,StGall/masters/karlsruhe_060/BLB_CodAugPerg_060_001r.tif,1,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028j296,ark:/21198/zz00289pwj,2,Completed,Page,StGall/masters/karlsruhe_060/BLB_CodAugPerg_060_001v.tif,2,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028j2bq,ark:/21198/zz00289pwj,2,Completed,Page,StGall/masters/karlsruhe_060/BLB_CodAugPerg_060_002r.tif,3,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028j2c7,ark:/21198/zz00289pwj,2,Completed,Page,StGall/masters/karlsruhe_060/BLB_CodAugPerg_060_002v.tif,4,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028j2dr,ark:/21198/zz00289pwj,2,Completed,Page,StGall/masters/karlsruhe_060/BLB_CodAugPerg_060_003r.tif,5,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028j2f8,ark:/21198/zz00289pwj,2,Completed,Page,StGall/masters/karlsruhe_060/BLB_CodAugPerg_060_003v.tif,6,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028j2gs,ark:/21198/zz00289pwj,2,Completed,Page,StGall/masters/karlsruhe_060/BLB_CodAugPerg_060_004r.tif,7,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028j2h9,ark:/21198/zz00289pwj,2,Completed,Page,StGall/masters/karlsruhe_060/BLB_CodAugPerg_060_004v.tif,8,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028j2jt,ark:/21198/zz00289pwj,2,Completed,Page,StGall/masters/karlsruhe_060/BLB_CodAugPerg_060_005r.tif,9,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028j2kb,ark:/21198/zz00289pwj,2,Completed,Page,StGall/masters/karlsruhe_060/BLB_CodAugPerg_060_005v.tif,10,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5v,,,,,,,,,,,
