Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz0028kf3v,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_001r.tif,1,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kf4c,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_001v.tif,2,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kf5w,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_002r.tif,3,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kf6d,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_002v.tif,4,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kf7x,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_003r.tif,5,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kf8f,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_003v.tif,6,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kf9z,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_004r.tif,7,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kfbg,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_004v.tif,8,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kfc0,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_005r.tif,9,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kfdh,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_005v.tif,10,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kff1,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_006r.tif,11,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 6r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kfgj,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_006v.tif,12,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 6v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kfh2,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_007r.tif,13,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 7r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kfjk,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_007v.tif,14,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 7v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kfk3,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_008r.tif,15,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 8r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kfmm,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_008v.tif,16,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 8v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028kfn4,ark:/21198/zz00289q0k,2,Completed,Page,StGall/masters/karlsruhe_105/BLB_CodAugPerg_105_009r.tif,17,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 9r,,,,,,,,,,,
