Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz0028m0c5,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_001r.tif,1,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0dp,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_001v.tif,2,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0f6,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_002r.tif,3,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0gq,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_002v.tif,4,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0h7,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_003r.tif,5,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0jr,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_003v.tif,6,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0k8,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_004r.tif,7,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0ms,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_004v.tif,8,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0n9,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_005r.tif,9,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0pt,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_005v.tif,10,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0qb,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_006r.tif,11,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 6r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0rv,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_006v.tif,12,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 6v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0sc,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_007r.tif,13,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 7r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0tw,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_007v.tif,14,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 7v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0vd,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_008r.tif,15,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 8r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0wx,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_008v.tif,16,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 8v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0xf,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_009r.tif,17,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 9r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m0zz,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_009v.tif,18,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 9v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m10z,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_010r.tif,19,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 10r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m11g,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_010v.tif,20,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 10v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m120,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_011r.tif,21,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 11r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m13h,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_011v.tif,22,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 11v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m141,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_012r.tif,23,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 12r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m15j,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_012v.tif,24,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 12v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m162,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_013r.tif,25,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 13r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m17k,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_013v.tif,26,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 13v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m183,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_014r.tif,27,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 14r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m19m,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_014v.tif,28,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 14v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1b4,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_015r.tif,29,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 15r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1cn,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_015v.tif,30,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 15v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1d5,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_016r.tif,31,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 16r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1fp,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_016v.tif,32,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 16v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1g6,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_017r.tif,33,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 17r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1hq,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_017v.tif,34,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 17v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1j7,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_018r.tif,35,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 18r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1kr,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_018v.tif,36,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 18v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1m8,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_019r.tif,37,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 19r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1ns,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_019v.tif,38,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 19v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1p9,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_020r.tif,39,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 20r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1qt,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_020v.tif,40,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 20v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1rb,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_021r.tif,41,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 21r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1sv,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_021v.tif,42,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 21v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1tc,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_022r.tif,43,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 22r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1vw,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_022v.tif,44,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 22v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1wd,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_023r.tif,45,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 23r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1xx,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_023v.tif,46,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 23v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m1zf,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_024r.tif,47,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 24r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m20f,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_024v.tif,48,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 24v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m21z,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_025r.tif,49,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 25r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m22g,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_025v.tif,50,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 25v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m230,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_026r.tif,51,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 26r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m24h,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_026v.tif,52,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 26v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028m251,ark:/21198/zz00289q13,2,Completed,Page,StGall/masters/karlsruhe_109/BLB_CodAugPerg_109_027r.tif,53,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 27r,,,,,,,,,,,
