Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz0028qfth,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_001r.tif,1,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qfv1,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_001v.tif,2,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qfwj,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_002r.tif,3,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qfx2,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_002v.tif,4,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qfzk,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_003r.tif,5,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qg0k,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_003v.tif,6,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qg13,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_004r.tif,7,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qg2m,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_004v.tif,8,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qg34,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_005r.tif,9,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qg4n,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_005v.tif,10,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qg55,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_006r.tif,11,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 6r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qg6p,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_006v.tif,12,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 6v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qg76,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_007r.tif,13,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 7r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qg8q,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_007v.tif,14,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 7v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qg97,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_008r.tif,15,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 8r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qgbr,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_008v.tif,16,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 8v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qgc8,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_009r.tif,17,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 9r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qgds,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_009v.tif,18,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 9v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qgf9,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_010r.tif,19,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 10r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qggt,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_010v.tif,20,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 10v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028qghb,ark:/21198/zz0028n281,2,Completed,Page,StGall/masters/karlsruhe_236/BLB_CodAugPerg_236_011r.tif,21,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 11r,,,,,,,,,,,
