Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz0028s4kf,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_e001.tif,1,,,,,,text,pd,,manuscripts (document genre),,,,,,,Front cover,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s4qh,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_e005.tif,2,,,,,,text,pd,,manuscripts (document genre),,,,,,,Inside front cover,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s4vk,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_001r.tif,10,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s4w3,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_001v.tif,11,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s4xm,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_002r.tif,12,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s4z4,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_002v.tif,13,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s504,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_003r.tif,14,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s51n,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_003v.tif,15,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s525,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_004r.tif,16,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s53p,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_004v.tif,17,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s546,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_005r.tif,18,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s55q,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_005v.tif,19,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s567,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_006r.tif,20,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 6r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s57r,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_006v.tif,21,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 6v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s588,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_007r.tif,22,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 7r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s59s,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_007v.tif,23,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 7v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s5b9,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_008r.tif,24,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 8r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s5ct,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_008v.tif,25,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 8v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s5db,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_009r.tif,26,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 9r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s5fv,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_009v.tif,27,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 9v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0028s5gc,ark:/21198/zz0028rnvc,2,Completed,Page,StGall/masters/zurich_59/ZBZ-Ms-C-59_f_010r.tif,28,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 10r,,,,,,,,,,,
