Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz002965tb,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_FC.tif,1,,,,,,text,pd,,manuscripts (document genre),,,,,,,Front cover,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002965vv,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_FS.tif,2,,,,,,text,pd,,manuscripts (document genre),,,,,,,Inside front cover,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002965r9,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_F001r.tif,3,,,,,,text,pd,,manuscripts (document genre),,,,,,,Front flyleaf (recto),,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002965st,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_F001v.tif,4,,,,,,text,pd,,manuscripts (document genre),,,,,,,Front flyleaf (verso),,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qfx,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_001r.tif,5,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qgf,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_001v.tif,6,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qhz,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_002r.tif,7,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qjg,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_002v.tif,8,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qk0,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_003r.tif,9,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qmh,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_003v.tif,10,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qn1,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_004r.tif,11,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qpj,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_004v.tif,12,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qq2,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_005r.tif,13,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qrk,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_005v.tif,14,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qs3,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_006r.tif,15,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 6r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qtm,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_006v.tif,16,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 6v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qv4,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_007r.tif,17,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 7r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qwn,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_007v.tif,18,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 7v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qx5,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_008r.tif,19,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 8r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qzp,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_008v.tif,20,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 8v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295r0p,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_009r.tif,21,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 9r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295r16,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_009v.tif,22,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 9v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295r2q,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_010r.tif,23,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 10r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295r37,ark:/21198/zz00295qdd,2,Completed,Page,StGall/masters/csg-0279/StPaulLavanttal_Hs06-01_010v.tif,24,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 10v,,,,,,,,,,,
