Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz002bft4q,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000001.tif,1,,,,,,text,pd,,manuscripts (document genre),,,,,,,Front cover,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bft78,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000004.tif,4,,,,,,text,pd,,manuscripts (document genre),,,,,,,inside front cover,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bft8s,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000005.tif,5,,,,,,text,pd,,manuscripts (document genre),,,,,,,Front flyleaf (recto),,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bft99,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000006.tif,6,,,,,,text,pd,,manuscripts (document genre),,,,,,,Front flyleaf (verso),,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftbt,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000007.tif,7,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftcb,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000008.tif,8,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 1v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftdv,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000009.tif,9,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftfc,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000010.tif,10,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 2v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftgw,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000011.tif,11,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bfthd,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000012.tif,12,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 3v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftjx,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000013.tif,13,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftkf,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000014.tif,14,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 4v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftmz,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000015.tif,15,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftng,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000016.tif,16,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 5v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftp0,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000017.tif,17,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 6r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftqh,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000018.tif,18,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 6v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftr1,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000019.tif,19,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 7r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftsj,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000020.tif,20,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 7v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftt2,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000021.tif,21,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 8r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftvk,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000022.tif,22,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 8v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftw3,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000023.tif,23,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 9r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bftxm,ark:/21198/zz002bft36,2,Completed,Page,StGall/masters/onb_0397/onb_0397_00000024.tif,24,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 9v,,,,,,,,,,,
