"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Name.author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001769w3","ark:/21198/zz001769t2","2","Completed","Page","wavav/images/masters/21198-zz001769w3_495349_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001769w3"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001769xm","ark:/21198/zz001769t2","2","Completed","Page","wavav/images/masters/21198-zz001769xm_495352_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001769xm"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176b04","ark:/21198/zz001769z4","2","Completed","Page","wavav/images/masters/21198-zz00176b04_495356_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176b04"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176b1n","ark:/21198/zz001769z4","2","Completed","Page","wavav/images/masters/21198-zz00176b1n_495361_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176b1n"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176b25","ark:/21198/zz001769z4","2","Completed","Page","wavav/images/masters/21198-zz00176b25_495364_master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176b25"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176b46","ark:/21198/zz00176b3p","2","Completed","Page","wavav/images/masters/21198-zz00176b46_495370_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176b46"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176b5q","ark:/21198/zz00176b3p","2","Completed","Page","wavav/images/masters/21198-zz00176b5q_495373_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176b5q"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176hjt","ark:/21198/zz00176hh9","2","Completed","Page","wavav/images/masters/21198-zz00176hjt_495803_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176hjt"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176hkb","ark:/21198/zz00176hh9","2","Completed","Page","wavav/images/masters/21198-zz00176hkb_495807_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176hkb"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176hnc","ark:/21198/zz00176hmv","2","Completed","Page","wavav/images/masters/21198-zz00176hnc_495818_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176hnc"
