"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Name.author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176k4k","ark:/21198/zz00176k2j","2","Completed","Page","wavav/images/masters/21198-zz00176k4k_495976_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176k4k"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176k6m","ark:/21198/zz00176k53","2","Completed","Page","wavav/images/masters/21198-zz00176k6m_495997_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176k6m"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176k8n","ark:/21198/zz00176k74","2","Completed","Page","wavav/images/masters/21198-zz00176k8n_496032_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176k8n"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176k95","ark:/21198/zz00176k74","2","Completed","Page","wavav/images/masters/21198-zz00176k95_496040_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176k95"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176kdq","ark:/21198/zz00176kc6","2","Completed","Page","wavav/images/masters/21198-zz00176kdq_496056_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176kdq"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176kf7","ark:/21198/zz00176kc6","2","Completed","Page","wavav/images/masters/21198-zz00176kf7_496063_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176kf7"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176kh8","ark:/21198/zz00176kgr","2","Completed","Page","wavav/images/masters/21198-zz00176kh8_496087_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176kh8"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176kjs","ark:/21198/zz00176kgr","2","Completed","Page","wavav/images/masters/21198-zz00176kjs_496090_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176kjs"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176nbn","ark:/21198/zz00176n94","2","Completed","Page","wavav/images/masters/21198-zz00176nbn_496098_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176nbn"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176nc5","ark:/21198/zz00176n94","2","Completed","Page","wavav/images/masters/21198-zz00176nc5_496101_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176nc5"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176nf6","ark:/21198/zz00176ndp","2","Completed","Page","wavav/images/masters/21198-zz00176nf6_496108_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176nf6"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176ngq","ark:/21198/zz00176ndp","2","Completed","Page","wavav/images/masters/21198-zz00176ngq_496114_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176ngq"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00176nh7","ark:/21198/zz00176ndp","2","Completed","Page","wavav/images/masters/21198-zz00176nh7_496118_master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00176nh7"
