"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.caption","Description.abstract","Bucketeer State","IIIF Access URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017760n","ark:/21198/zz001775zn","2","Completed","Page","wavav/images/masters/21198-zz0017760n_497628_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017760n"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177615","ark:/21198/zz001775zn","2","Completed","Page","wavav/images/masters/21198-zz00177615_497631_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177615"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177636","ark:/21198/zz0017762p","2","Completed","Page","wavav/images/masters/21198-zz00177636_497634_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177636"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017764q","ark:/21198/zz0017762p","2","Completed","Page","wavav/images/masters/21198-zz0017764q_497637_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017764q"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177657","ark:/21198/zz001775zn","2","Completed","Page","wavav/images/masters/21198-zz00177657_497640_master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177657"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017766r","ark:/21198/zz001775zn","1","In progress","Page","","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","missing",
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017768s","ark:/21198/zz00177678","2","Completed","Page","wavav/images/masters/21198-zz0017768s_497646_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017768s"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177699","ark:/21198/zz00177678","2","Completed","Page","wavav/images/masters/21198-zz00177699_497649_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177699"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001776cb","ark:/21198/zz001776bt","2","Completed","Page","","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","missing",
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001776dv","ark:/21198/zz001776bt","2","Completed","Page","wavav/images/masters/21198-zz001776dv_497665_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001776dv"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001776gw","ark:/21198/zz001776fc","2","Completed","Page","wavav/images/masters/21198-zz001776gw_497676_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001776gw"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001776hd","ark:/21198/zz001776fc","2","Completed","Page","wavav/images/masters/21198-zz001776hd_497682_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001776hd"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001776jx","ark:/21198/zz001776fc","2","Completed","Page","wavav/images/masters/21198-zz001776jx_497688_master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001776jx"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001776kf","ark:/21198/zz001776fc","2","Completed","Page","wavav/images/masters/21198-zz001776kf_497694_master.tif","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001776kf"
