Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sgz5,ark:/21198/zz000s2z4b,2,Completed,Work,,36,,,,,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Boycotts--California--Los Angeles|~|Violence in mass media|~|Rape|~|Sex in mass media,,eng,,,,,,,,"Flyer Protesting ""9 1/2 Weeks""",1986,,,1986,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sh1p,ark:/21198/zz000s2z4b,2,Completed,Work,,1,,,,,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Serial murders $z California $z Los Angeles County,,eng,,,,,,,,Instructions for Hillside Strangler Memorial Event,1977,,,1977,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sh26,ark:/21198/zz000s2z4b,2,Completed,Work,,4,,,,,,private,,text,copyrighted,unpublished,N,Women Against Violence Against Women ,Los Angeles (Calif.),,Campaigns - Other (WAVAW),,eng,letters (correspondence),,,,,,,"Letter from Congressman Regarding ""Self-Defense"" Campaign","January 18, 1978",,Rights.generalNote: Need to obtain permission to publish from original author.,1978-01-18,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sh3q,ark:/21198/zz000s2z4b,2,Completed,Work,,3,,,,,,private,,text,copyrighted,unpublished,N,Women Against Violence Against Women ,Los Angeles (Calif.),,Campaigns - Other (WAVAW),,eng,letters (correspondence),,,,,,,"Letter from Federal Trade Commission Regarding ""Self-Defense"" Campaign","January 30, 1978",,Rights.generalNote: Need to obtain permission to publish from original author.,1978-01-30,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sh47,ark:/21198/zz000s2z4b,2,Completed,Work,,9,,,,,,,,text,copyrighted,unpublished,Y,Paramount Pictures|~|Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Boycotts--California--Los Angeles|~|Sadomasochism|~|Violence in mass media|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,,,,Press Release Calling for Discontinuation of Bloodline Film,"July 6, 1979",,,1979-07-06,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sh5r,ark:/21198/zz000s2z4b,2,Completed,Work,,10,,,,,,,,text,copyrighted,unpublished,Y,Paramount Pictures|~|Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Boycotts--California--Los Angeles|~|Sadomasochism|~|Violence in mass media|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,letters (correspondence),,,,,,,Letter to Paramount Requesting Removal of All Advertising for Film,"July 6, 1979",,,1979-07-06,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sh68,ark:/21198/zz000s2z4b,2,Completed,Work,,11,,,,,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,"Los Angeles (Calif.)|~|Knoxville, Tennessee",,Campaigns - Other (WAVAW)|~|Rape|~|Rape--United States--Psychological aspects|~|Rape victims--Medical examinations|~|Rape--Investigation,,eng,letters (correspondence),"London, Julia",,,,,,Letter to Knoxville Mayor Regarding Firehouse Rape,"November 15, 1979",,Rights.generalNote: Unsure as to whether or not permission from author needs to be obtained as she was writing on behalf of the organization.,1979-11-15,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sh7s,ark:/21198/zz000s2z4b,2,Completed,Work,,12,,,,,,,,text,copyrighted,,Y,Women Against Violence Against Women ,"Los Angeles (Calif.)|~|Knoxville, Tennessee",,Campaigns - Other (WAVAW)|~|Rape|~|Rape--United States--Psychological aspects|~|Rape--Investigation|~|Rape victims,unpublished,eng,letters (correspondence),"London, Julia",,,,,,Letter to Victim of Firehouse Rape,"November 17, 1979",,Rights.generalNote: Unsure as to whether or not permission from author needs to be obtained as she was writing on behalf of the organization.,1979-11-17,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sh89,ark:/21198/zz000s2z4b,2,Completed,Work,,13,,,,,,private,,text,copyrighted,,N,Women Against Violence Against Women ,"Los Angeles (Calif.)|~|Knoxville, Tennessee",,Campaigns - Other (WAVAW)|~|Rape|~|Rape--United States--Psychological aspects|~|Rape victims--Medical examinations|~|Rape--Investigation,,eng,letters (correspondence),,,,,unpublished,,Response from Knoxville Mayor Regarding Firehouse Rape,"January 24, 1980",,Rights.generalNote: Need to obtain permission to publish from original author.,1980-01-24,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sh9t,ark:/21198/zz000s2z4b,2,Completed,Work,,14,,,,,,,,text,copyrighted,unpublished,Y,"Hefner, Hugh M. (Hugh Marston), 1926-|~|Playboy Enterprises Inc, 20th century|~|Women Against Violence Against Women ",Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Freedom of speech|~|Racism|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,,,,Press Release for Hugh M. Hefner Spirit of Playboy Awards,"June 26, 1980",,,1980-06-26,,
