"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Name.author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178zj0","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00178zj0_501493_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178zj0"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178zkh","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00178zkh_501496_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178zkh"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178zm1","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00178zm1_501500_master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178zm1"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178znj","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00178znj_501505_master.tif","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178znj"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178zp2","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00178zp2_501509_master.tif","5","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178zp2"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178zqk","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00178zqk_501514_master.tif","6","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178zqk"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178zr3","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00178zr3_501518_master.tif","7","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178zr3"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178zsm","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00178zsm_501524_master.tif","8","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 8","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178zsm"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178zt4","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00178zt4_501529_master.tif","9","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 9","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178zt4"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178zvn","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00178zvn_501535_master.tif","10","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 10","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178zvn"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178zw5","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00178zw5_501538_master.tif","11","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 11","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178zw5"
