Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.creator,Language,Subject,Rights.permission,Subject geographic,Author,Name.cartographer,Name.repository,Name.subject,Title,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,AltIdentifier.callNo,Alt ID.catalogRecordNumber,Opac url,Coverage.geoscale,AltTitle.uniform,Alt ID.local,Description.caption,Date.creation,Date.normalized,Alt ID.lccn,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c24n9,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_P55_18_LA_Harbor_Dept_1928_copy1_of_map.tif,,,,,,,cartographic,map,unknown,unknown,,eng,Los Angeles (Calif.)--Harbor--Maps,,Los Angeles (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Los Angeles harbor and vicinity,,,,,Los Angeles Harbor (Calif.),,,,,,,G4364_LA_P55_18_LA_Harbor_Dept_1928_copy1_of_map,,1928,1928,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c24n9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c24n9/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c24pt,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_P55_1911.tif,,,,,,,cartographic,map,pd_usfed,unknown,"United States. Army. Corps of Engineers. Engineer Office.|~|Pierce, R. E.",eng,,,Los Angeles (Calif.)--Harbor--Maps|~|Los Angeles Harbor (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Los Angeles Harbor, California",The Office,"Depths shown by isolines and soundings.|~|U.S. Engineer Office, Los Angeles, Cal. ; R.E. Pierce, fec.|~|Blue line print.","Los Angeles, Cal|~|cau",1 map : photocopy ; 48 x 43 cm.,Los Angeles Harbor (Calif.),24665624,G4364 L.A. P55 1911,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3503116,18000,,G4364_LA_P55_1911,,1911,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c24pt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c24pt/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c24qb,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_P55_19_HDCLA_1935_copy2.tif,,,,,,,cartographic,map,pd_usfed,unknown,Port of Los Angeles,eng,Harbors--California--Los Angeles--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Los Angeles harbor and vicinity,Harbor Dept. of the City of Los Angeles,"Includes location maps and index.|~|""7109-3.""","[Los Angeles, Calif.]|~|cau",1 map : col. ; 78 x 50 cm.,California|~|Los Angeles,24776169,G4364 L.A. P55 19 HDCLA 1935,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2242695,19000,,G4364_LA_P55_19_HDCLA_1935_copy2,,1935,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c24qb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c24qb/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c24rv,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_P55_19_HD_1932.tif,,,,,,,cartographic,map,pd_usfed,unknown,Port of Los Angeles,eng,Harbors--California--Los Angeles--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Los Angeles harbor and vicinity,Harbor Dept. of the City of Los Angeles,"Includes location maps and index.|~|""7109-3.""","cau|~|[Los Angeles, Calif.]",1 map : col. ; 79 x 51 cm.,Los Angeles|~|California,24728840,G4364 L.A. P55 19 HD 1932,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2242696,19000,,G4364_LA_P55_19_HD_1932,,1932,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c24rv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c24rv/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c24sc,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_P55_19_LABHC_1939.tif,,,,,,,cartographic,map,pd_usfed,unknown,Los Angeles (Calif.). Board of Harbor Commissioners.,eng,Harbors--California--Los Angeles--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Los Angeles harbor and vicinity,Board of Harbor Commissioners of the City of Los Angeles,"Includes location maps and index.|~|""7109-3.""","[Los Angeles, Calif.]|~|cau",1 map : col. ; 78 x 50 cm.,California|~|Los Angeles,24776144,G4364 L.A. P55 19 LABHC 1939,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2241905,19000,,G4364_LA_P55_19_LABHC_1939,,1940|~|1939,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c24sc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c24sc/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c24tw,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_P55_19_LABHC_1940.tif,,,,,,,cartographic,map,unknown|~|public domain,unknown,Los Angeles (Calif.). Board of Harbor Commissioners.,eng,Harbors--California--Los Angeles--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Los Angeles harbor and vicinity,Board of Harbor Commissioners of the City of Los Angeles,"Includes location maps and index.|~|""7109-3.""","cau|~|[Los Angeles, Calif.]",1 map : col. ; 78 x 50 cm.,Los Angeles|~|California,24776147,G4364 L.A. P55 19 LABHC 1940,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2241904,19000,,G4364_LA_P55_19_LABHC_1940,,1940,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c24tw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c24tw/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c24vd,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_P55_20_CE_1943.tif,,,,,,,cartographic,map,pd_usfed,,United States. Army. Corps of Engineers.,eng,Los Angeles (Calif.)--Harbor--Maps,,San Pedro Bay (Calif. : Bay)--Maps|~|Los Angeles Harbor (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Battle Map,,,,,San Pedro Bay (Calif.)|~|Los Angeles Harbor (Calif.),,,,,,,G4364_LA_P55_20_CE_1943,,1943,1943,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c24vd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c24vd/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c24wx,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_P55_35_LAHD_1930.tif,,,,,,,cartographic,map,pd_usfed,unknown,Port of Los Angeles,eng,Harbors--California--Los Angeles--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Los Angeles harbor and vicinity,Harbor Dept. of the City of Los Angeles,Includes location maps and index.,"[Los Angeles, Calif.]|~|cau",1 map : col. ; 40 x 26 cm.,Los Angeles|~|California,24776013,G4364 L.A. P55 35 HDCLA 1930,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2242698,3700,,G4364_LA_P55_35_LAHD_1930,,1930,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c24wx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c24wx/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c250z,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_P55_DandM_ND.tif,,,,,,,cartographic,map|~|Aerial views.,unknown,unknown,,eng,--Aerial views,,Long Beach (Calif.)--Maps|~|Long Beach Harbor (Calif.)--Maps|~|Los Angeles Harbor (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Bird's-Eye View of Long Beach - Los Angeles Harbor Showing Present Development and Proposed Improvements,,,,,Long Beach Harbor (Calif.)|~|Los Angeles Harbor (Calif.),,,,,,,G4364_LA_P55_DandM_ND,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c250z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c250z/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c251g,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_P61_16_NP_1945.tif,,,,,,,cartographic,map|~|Thematic maps.,pd_usfed,,,eng,"Los Angeles (Calif.)--Maps, Topographic|~|Airports--California--Los Angeles County--Maps",,Los Angeles (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Ultimate Boundaries of the Los Angeles Airport with Suggested Landing Field Facilities Layout,,,,,Los Angeles (Calif.),,,,,,,G4364_LA_P61_16_NP_1945,,1945,1945,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c251g,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c251g/manifest
