"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.creator","Author","Rights.servicesContact","Language","Type.genre","Subject","Name.subject","Name.repository","Name.contributor","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.normalized","Date.creation","Description.note","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tjkq","ark:/21198/zz0019tjj6","2","Completed","Page","cruikshank/images/masters/21198-zz0019tjkq_742305_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjkq",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tjm7","ark:/21198/zz0019tjj6","2","Completed","Page","cruikshank/images/masters/21198-zz0019tjm7_742308_master.tif","2","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjm7",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tjnr","ark:/21198/zz0019tjj6","2","Completed","Page","cruikshank/images/masters/21198-zz0019tjnr_742311_master.tif","3","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjnr",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tjp8","ark:/21198/zz0019tjj6","2","Completed","Page","cruikshank/images/masters/21198-zz0019tjp8_742314_master.tif","4","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjp8",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tjqs","ark:/21198/zz0019tjj6","2","Completed","Page","cruikshank/images/masters/21198-zz0019tjqs_742318_master.tif","5","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjqs",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tjr9","ark:/21198/zz0019tjj6","2","Completed","Page","cruikshank/images/masters/21198-zz0019tjr9_742321_master.tif","6","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjr9",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tjst","ark:/21198/zz0019tjj6","2","Completed","Page","cruikshank/images/masters/21198-zz0019tjst_742326_master.tif","7","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjst",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tjtb","ark:/21198/zz0019tjj6","2","Completed","Page","cruikshank/images/masters/21198-zz0019tjtb_742330_master.tif","8","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjtb",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tjvv","ark:/21198/zz0019tjj6","2","Completed","Page","cruikshank/images/masters/21198-zz0019tjvv_742335_master.tif","9","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjvv",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tjwc","ark:/21198/zz0019tjj6","2","Completed","Page","cruikshank/images/masters/21198-zz0019tjwc_742338_master.tif","10","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjwc",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tjxw","ark:/21198/zz0019tjj6","2","Completed","Page","cruikshank/images/masters/21198-zz0019tjxw_742341_master.tif","11","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjxw",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tjzd","ark:/21198/zz0019tjj6","2","Completed","Page","cruikshank/images/masters/21198-zz0019tjzd_742344_master.tif","12","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjzd",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tk0d","ark:/21198/zz0019tjj6","2","Completed","Page","cruikshank/images/masters/21198-zz0019tk0d_742348_master.tif","13","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tk0d",""
