Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.creator,Author,Rights.servicesContact,Language,Type.genre,Subject,Name.subject,Name.repository,Name.contributor,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.normalized,Date.creation,Description.note,Description.inscription,Description.abstract,IIIF Manifest URL
Cruikshank (Margaret) Collection,ark:/21198/zz001bp67b,ark:/21198/zz000s2z8d,2,Completed,Work,,11,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp68v,text,copyrighted,Y,N,United States,,"Cruikshank, Margaret",,eng,,"New Lesbian Writing - Correspondence and Notes|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Gidlow, Elsa, 1898-|~|Rule, Jane|~|Anzaldua, Gloria|~|Allen, Paula Gunn|~|Namjoshi, Suniti, 1941-|~|Richardson, Ethel Florence Lindesay|~|Deming, Barbara, 1917-1984|~|Curb, Rosemary, 1940-|~|Annas, Pamela J|~|Meigs, Mary, 1917-2002|~|Vivien, Renée, 1877-1909|~|Brant, Beth, 1941-",June L. Mazer Lesbian Archives,,individuals,,,,Notes on Prose Content of New Lesbian Writing Anthology,1982/1984,Between 1982 and 1984,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bp67b/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bp69c,ark:/21198/zz000s2z8d,2,Completed,Work,,1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp6cd,text,copyrighted,Y,N,United States,,"Cruikshank, Margaret",,eng,,"New Lesbian Writing - Correspondence and Notes|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Gidlow, Elsa, 1898-|~|Anzaldua, Gloria|~|Allen, Paula Gunn|~|Namjoshi, Suniti, 1941-|~|Richardson, Ethel Florence Lindesay|~|Courtot, Martha, 1941-|~|Deming, Barbara, 1917-1984|~|Meigs, Mary, 1917-2002|~|Vivien, Renée, 1877-1909|~|Hacker, Marilyn, 1942-|~|Lapidus, Jacqueline",June L. Mazer Lesbian Archives,,individuals,,,,Tentative List of Works,1982-09-21,"September 21, 1982",,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bp69c/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bp6ff,ark:/21198/zz000s2z8d,2,Completed,Work,,2,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp6gz,text,copyrighted,Y,N,United States,,"Cruikshank, Margaret",,eng,letters (correspondence),"New Lesbian Writing - Correspondence and Notes|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Gidlow, Elsa, 1898-|~|Allen, Paula Gunn|~|Richardson, Ethel Florence Lindesay|~|Red, Ida Vsw|~|Deming, Barbara, 1917-1984|~|Jay, Karla|~|Annas, Pamela J|~|Meigs, Mary, 1917-2002|~|Brant, Beth, 1941-|~|Grey Fox Press",June L. Mazer Lesbian Archives,,individuals,,,,"Memo to Contributors Regarding Publication, Bibliography, and Biographical Notes",1982-09-29,"September 29, 1982",,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bp6ff/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bp6j0,ark:/21198/zz000s2z8d,2,Completed,Work,,6,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp6kh,text,copyrighted,Y,N,United States,,"Cruikshank, Margaret",,eng,,"New Lesbian Writing - Correspondence and Notes|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Courtot, Martha, 1941-|~|Davenport, Doris, 1949-|~|Red, Ida Vsw|~|Brodine, Karen|~|Canan, Janine|~|Hacker, Marilyn, 1942-|~|Lapidus, Jacqueline",June L. Mazer Lesbian Archives,,individuals,,,,Tentative List of Poetry,1982,1982,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bp6j0/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bp6m1,ark:/21198/zz000s2z8d,2,Completed,Work,,3,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp6nj,text,copyrighted,Y,N,United States,,"Cruikshank, Margaret",,eng,,"New Lesbian Writing - Correspondence and Notes|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Gidlow, Elsa, 1898-|~|Allen, Paula Gunn|~|Namjoshi, Suniti, 1941-|~|Richardson, Ethel Florence Lindesay|~|Deming, Barbara, 1917-1984|~|Annas, Pamela J|~|Meigs, Mary, 1917-2002|~|Vivien, Renée, 1877-1909|~|Brant, Beth, 1941-",June L. Mazer Lesbian Archives,,individuals,,,,"List of Tentative Work - Fiction, Criticism, Autobiography",1982-10-10,"October 10, 1982",Rights.statementLocal: Item contains a personal address.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bp6m1/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bp6qk,ark:/21198/zz000s2z8d,2,Completed,Work,,10,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp6r3,text,copyrighted,Y,N,United States,,"Cruikshank, Margaret",,eng,,"New Lesbian Writing - Correspondence and Notes|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",,June L. Mazer Lesbian Archives,,individuals,,,,Notes on Work Remaining to be Completed,1983-05-11,"May 11, 1983",,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bp6qk/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bp6sm,ark:/21198/zz000s2z8d,2,Completed,Work,,8,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp6t4,text,copyrighted,Y,N,United States,,"Cruikshank, Margaret",,eng,,"New Lesbian Writing - Correspondence and Notes|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Gidlow, Elsa, 1898-|~|Rule, Jane|~|Allen, Paula Gunn|~|Namjoshi, Suniti, 1941-|~|Richardson, Ethel Florence Lindesay|~|Courtot, Martha, 1941-|~|Davenport, Doris, 1949-|~|Deming, Barbara, 1917-1984|~|Annas, Pamela J|~|Meigs, Mary, 1917-2002|~|Vivien, Renée, 1877-1909|~|Brant, Beth, 1941-|~|Brodine, Karen|~|Canan, Janine|~|Hacker, Marilyn, 1942-|~|Lapidus, Jacqueline",June L. Mazer Lesbian Archives,,individuals,,,,"List of Tentative Work - Fiction, Criticism, Autobiography Plus List of Poetry",1983-03-01,"March 1, 1983",,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bp6sm/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bp858,ark:/21198/zz000s2z8d,2,Completed,Work,,7,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp8t3,text,copyrighted,Y,N,United States,,"Cruikshank, Margaret",,eng,,"New Lesbian Writing - Correspondence and Notes|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Rule, Jane|~|Courtot, Martha, 1941-|~|Davenport, Doris, 1949-|~|Grier, Barbara|~|Brodine, Karen|~|Canan, Janine|~|Hacker, Marilyn, 1942-|~|Lapidus, Jacqueline|~|Grey Fox Press",June L. Mazer Lesbian Archives,,individuals,,,,"Memo to Contributors Regarding Photographs, Publication Updates, and New Contributions",1983-02-28,"February 28, 1983",,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bp858/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bp8qj,ark:/21198/zz000s2z8d,2,Completed,Work,,4,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp8r2,text,copyrighted,Y,N,United States,,"Cruikshank, Margaret",,eng,,"New Lesbian Writing - Correspondence and Notes|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Gidlow, Elsa, 1898-|~|Rule, Jane|~|Allen, Paula Gunn|~|Namjoshi, Suniti, 1941-|~|Richardson, Ethel Florence Lindesay|~|Davenport, Doris, 1949-|~|Deming, Barbara, 1917-1984|~|Annas, Pamela J|~|Meigs, Mary, 1917-2002|~|Vivien, Renée, 1877-1909|~|Brant, Beth, 1941-|~|Brodine, Karen|~|Canan, Janine|~|Hacker, Marilyn, 1942-|~|Lapidus, Jacqueline",June L. Mazer Lesbian Archives,,individuals,,,,"List of Tentative Work and Notes - Fiction, Criticism, Autobiography",1982-10-10,"October 10, 1982",,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bp8qj/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001btnbz,ark:/21198/zz000s2z8d,2,Completed,Work,,9,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001btq18,text,copyrighted,Y,N,United States,,"Cruikshank, Margaret",,eng,,"New Lesbian Writing - Correspondence and Notes|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Gidlow, Elsa, 1898-|~|Rule, Jane|~|Allen, Paula Gunn|~|Namjoshi, Suniti, 1941-|~|Richardson, Ethel Florence Lindesay|~|Courtot, Martha, 1941-|~|Davenport, Doris, 1949-|~|Red, Ida Vsw|~|Deming, Barbara, 1917-1984|~|Annas, Pamela J|~|Meigs, Mary, 1917-2002|~|Vivien, Renée, 1877-1909|~|Brant, Beth, 1941-|~|Brodine, Karen|~|Canan, Janine|~|Hacker, Marilyn, 1942-|~|Lapidus, Jacqueline",June L. Mazer Lesbian Archives,,individuals,,,,"List of Tentative Work and Notes - Fiction, Criticism, Autobiography Plus List of Poetry",1983-03-01,"March 1, 1983",,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001btnbz/manifest
