"Project Name","Parent ARK","Item ARK","Object Type","File Name","viewingHint","Text direction","AltIdentifier.local","Item Sequence","Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Name.repository","AltTitle.other","AltTitle.translated","AltTitle.uniform","Place of origin","Date.creation","Date.normalized","Format.extent","Format.dimensions","Support","Description.note","Description.history","Description.condition","Coverage.temporal","Description.collation","Description.binding","Description.tableOfContents","Description.contents","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009gx91","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009gx91_2402162_master.tif","","","Ms. 25_cvr","1","Front Cover","text","","pd","","","","","","","Ethiopia","20th c.","1900/1999","1 Item","250 mm x 222 mm","Stamped leather over board","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009gx91",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009gx91/n","Page","","","","","2","Inside front cover","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009kc21","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kc21-1-master.tif","","","Ms. 25_blk1","3","Blank page","text","","pd","","","","","","","Ethiopia","20th c.","1900/1999","1 Page","250 mm x 222 mm","Vellum","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009kc21",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009kc3j","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kc3j-1-master.tif","","","Ms. 25_blk2","4","Blank page","text","","pd","","","","","","","Ethiopia","20th c.","1900/1999","1 Page","250 mm x 222 mm","Vellum","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009kc3j",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009kc42","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kc42-1-master.tif","","","Ms. 25_blk3","5","Blank page","text","","pd","","","","","","","Ethiopia","20th c.","1900/1999","1 Page","250 mm x 222 mm","Vellum","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009kc42",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009kc5k","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kc5k-1-master.tif","","","Ms. 25_blk4","6","Blank page","text","","pd","","","","","","","Ethiopia","20th c.","1900/1999","1 Page","250 mm x 222 mm","Vellum","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009kc5k",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009kc63","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kc63-1-master.tif","","","Ms. 25_1","7","Page 1","text","","pd","","gez","","ጸሎተ ኪዳን|~|መጽሐፈ ቅዳሴ","The Book of Missal","Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","250 mm x 222 mm","Vellum","Prayers for the new vessels:  On the paten:  በስመ አብ  ጸሎት ሶበ ትሰይሞ ለፃሕል ወትብል። እግዚአብሔር አምላክነ አኃዜ ኲሉ አቡሁ እግዚአነ ወአምላክነ ወመድኃኒነ ኢየሱስ ክርስቶስ። ዘአቀማ ለቤተ ክርስቲያኑ በንጽሕ ወለካህናት ወለካህናት ወንዋየ ቅድሳት ; On the chalice:  ጸሎት ሶበ ትሰይሞ ለጽዋዕ ቅዱስ ወትብል እግዚአብሔር አምላክነ... ዘኀረዮ ለአሮን ካህን ወዐቀመ ማእከለ ጉባኤ ማኅበር በደብተራ ስምዕ ወረሰየ ከመ ይፈጽም ቅድሳቶ ኅበ መቅደሱ እንተ ይእቲ ቅድተ ቅዱሳን","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009kc63",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009kc7m","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kc7m-1-master.tif","","","Ms. 25_2","8","Page 2","text","","pd","","gez","","መጽሐፈ ቅዳሴ|~|ጸሎተ ኪዳን","The Book of Missal","Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","250 mm x 222 mm","Vellum","Prayers for the new vessels:  On the chalice:  ጸሎት ሶበ ትሰይሞ ለጽዋዕ ቅዱስ ወትብል እግዚአብሔር አምላክነ... ዘኀረዮ ለአሮን ካህን ወዐቀመ ማእከለ ጉባኤ ማኅበር በደብተራ ስምዕ ወረሰየ ከመ ይፈጽም ቅድሳቶ ኅበ መቅደሱ እንተ ይእቲ ቅድተ ቅዱሳን ; On the cross spoon:  ጸሎት ሶበ ትሠይሞ ለዕርፈ መስቀል ወትብል እግዚአብሔር አምላክነ...  ንስእል ወናስተበቊዕ ኂሩተ ሠናያቲከ ኦ መፍቀሬ ሰብእ ዘኃረይኮ ለእስጢፋኖስ ወረሰይኮ ላእከ ለካህናት","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009kc7m",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009kc84","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kc84-1-master.tif","","","Ms. 25_3","9","Page 3","text","","pd","","gez","","ጸሎተ ኪዳን|~|መጽሐፈ ቅዳሴ","The Book of Missal","Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","250 mm x 222 mm","Vellum","Prayers for the new vessels:  On the cross spoon:  ጸሎት ሶበ ትሠይሞ ለዕርፈ መስቀል ወትብል እግዚአብሔር አምላክነ...  ንስእል ወናስተበቊዕ ኂሩተ ሠናያቲከ ኦ መፍቀሬ ሰብእ ዘኃረይኮ ለእስጢፋኖስ ወረሰይኮ ላእከ ለካህናት; Introductory Prayers:  Words for priests and decon:  በስመ አብ... ሥርዓተ ቅዳሴ ዘይደሉ ለቀሲስ ወለዲያቆን ወለኲሉ ሕዝብ ወለኲሉ ዘመፍትው ዘበበጊዜሁ በከመ ሥርዓተ አበዊነ ግብፃውያን","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009kc84",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009kc9n","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kc9n-1-master.tif","","","Ms. 25_4","10","Page 4","text","","pd","","gez","","መጽሐፈ ቅዳሴ|~|ጸሎተ ኪዳን","The Book of Missal","Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","250 mm x 222 mm","Vellum","Introductory Prayers:  Words for priests and decon  በስመ አብ... ሥርዓተ ቅዳሴ ዘይደሉ ለቀሲስ ወለዲያቆን ወለኲሉ ሕዝብ ወለኲሉ ዘመፍትው ዘበበጊዜሁ በከመ ሥርዓተ አበዊነ ግብፃውያን; Prayer of Penitence መቅድመ ኲሉ ይጼሊ ቀሲስ ጸሎተ ንስሐ በዊኦቱ ኀበ ቤተ ክርስቲያን ወይበል መዝሙረ ዳዊት...  ወእምድኅሬሁ ይበል ዘንተ እግዚአብሔር አምላክነ አንተ ውእቱ ባሕቲቱከ ቅዱስ ዘወሀብከነ ለኲልነ ቅድሳቲከ","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009kc9n",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009kcb5","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kcb5-1-master.tif","","","Ms. 25_5","11","Page 5","text","","pd","","gez","","ጸሎተ ኪዳን|~|መጽሐፈ ቅዳሴ","The Book of Missal","Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","250 mm x 222 mm","Vellum","Introductory Prayers:  Prayer of Penitence መቅድመ ኲሉ ይጼሊ ቀሲስ ጸሎተ ንስሐ በዊኦቱ ኀበ ቤተ ክርስቲያን ወይበል መዝሙረ ዳዊት...  ወእምድኅሬሁ ይበል ዘንተ እግዚአብሔር አምላክነ አንተ ውእቱ ባሕቲቱከ ቅዱስ ዘወሀብከነ ለኲልነ ቅድሳቲከ ; Prayer of Gregory ጸሎት ዘጎርጎርዮስ ቅድመ ግብአተ መንጦላዕት አምላክነ ዘተአምር ኲሎ ሕሊና ሰብእ ወትፈትን ልበ ወኲልያተ እስመ እንዘ ኢይደልወኒ ሊተ ጸዋእከኒ እትቀነይ ውስተ ዝንቱ መካን ቅዱስ ዘዚአከ","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009kcb5",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009kccp","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kccp-1-master.tif","","","Ms. 25_6","12","Page 6","text","","pd","","gez","","መጽሐፈ ቅዳሴ|~|ጸሎተ ኪዳን","The Book of Missal","Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","250 mm x 222 mm","Vellum","Introductory Prayers:  Prayer of Gregory ጸሎት ዘጎርጎርዮስ ቅድመ ግብአተ መንጦላዕት አምላክነ ዘተአምር ኲሎ ሕሊና ሰብእ ወትፈትን ልበ ወኲልያተ እስመ እንዘ ኢይደልወኒ ሊተ ጸዋእከኒ እትቀነይ ውስተ ዝንቱ መካን ቅዱስ ዘዚአከ ; Prayer of Basil ወእምዝ ይባእ ካህን ውስተ ቤተ መቅደስ ወይሰግድ ቅድመ መንጦላዕተ ፩ደ ይበል ጸሎተ ባስልዮስ ላዕለ ሣፁናት እንዘ ያርኁ እግዚአብሔር አምላክነ ወፈጣሪነ ዘገበርከ ኲሎ በቃልከ ወአባእከነ ውስተ ዝንቱ ምሥጢር","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009kccp",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009kf83","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kf83-1-master.tif","","","Ms. 25_7","13","Page 7","text","","pd","","gez","","ጸሎተ ኪዳን|~|መጽሐፈ ቅዳሴ","The Book of Missal","Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","250 mm x 222 mm","Vellum","Introductory Prayers:  Prayer of Basil ወእምዝ ይባእ ካህን ውስተ ቤተ መቅደስ ወይሰግድ ቅድመ መንጦላዕተ ፩ደ ይበል ጸሎተ ባስልዮስ ላዕለ ሣፁናት እንዘ ያርኁ እግዚአብሔር አምላክነ ወፈጣሪነ ዘገበርከ ኲሎ በቃልከ ወአባእከነ ውስተ ዝንቱ ምሥጢር ; Prayer of John ወእምዝ ይባእ ውስጠ ወስግድ ፫ተ ጊዜ ቅድመ ታቦት ወይበል ጸሎተ ዮሐንስ እግዚአብሔር አምላክነ ዘይነብር መልዕልተ መላእክት ወሊቃነ መላእክት አጋዕዝት ወሥልጣናት","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009kf83",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009kf9m","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kf9m-1-master.tif","","","Ms. 25_8","14","Page 8","text","","pd","","gez","","መጽሐፈ ቅዳሴ|~|ጸሎተ ኪዳን","The Book of Missal","Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","250 mm x 222 mm","Vellum","Introductory Prayers:  Prayer of John ወእምዝ ይባእ ውስጠ ወስግድ ፫ተ ጊዜ ቅድመ ታቦት ወይበል ጸሎተ ዮሐንስ እግዚአብሔር አምላክነ ዘይነብር መልዕልተ መላእክት ወሊቃነ መላእክት አጋዕዝት ወሥልጣናት ; Prayer over all the vessels of the church ጸሎት ላዕለ ኩሉ ቤተ ክርስቲያን እግዚአብሔር አምላክነ ኄር ወመሐሪ ወቅዱስ ዘተዐርፍ በውስተ ቅዱሳን","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009kf9m",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009kfb4","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kfb4-1-master.tif","","","Ms. 25_9","15","Page 9","text","","pd","","gez","","ጸሎተ ኪዳን|~|መጽሐፈ ቅዳሴ","The Book of Missal","Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","250 mm x 222 mm","Vellum","Introductory Prayers over the coverings of the Host ጸሎት ላዕለ ማኅፈዳት እግዚአብሔር እግዚእነ ወአምላክነ ወመድኃኒነ ኢየሱስ ክርስቶስ  ዘሎቱ መዛግብት ዘምሉዕ ሣህለ ወምሕረተ ; Over the Paten ጸሎት ላዕለ ፃሕል እግዚአብሔር አምላክነ ኄር ማሕየዊ ዘሰፋሕከ እደዊከ ቅዱሳት ዲበ ዕፀ መስቀል ግበር እዴከ ቅዱስ ላዕለ ዛቲ ፃሕል ዘምሉዕ ሠናያተ ; Over the chalice ጸሎት ላዕለ ጽዋዕ እግዚአብሔር አምላክነ ኢየሱስ ክርስቶስ አላትዮን ዘበአማን አምላክነ ዘተሰብአ ወኢተፈልጠ መለኮቱ እምትስብእቱ ዘከሀወ ደሞ በሥምረት ላዕለ ልሕኲቱ ግበር እዴከ ቅዱስ ላዕለ ዝንቱ ጽዋዕ","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009kfb4",""
"Ethiopic Manuscripts","ark:/21198/zz0009gx8h","ark:/21198/zz0009kfcn","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kfcn-1-master.tif","","","Ms. 25_10","16","Page 10","text","","pd","","gez","","መጽሐፈ ቅዳሴ|~|ጸሎተ ኪዳን","The Book of Missal","Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","250 mm x 222 mm","Vellum","Introductory Prayers over the chalice ጸሎት ላዕለ ጽዋዕ እግዚአብሔር አምላክነ ኢየሱስ ክርስቶስ አላትዮን ዘበአማን አምላክነ ዘተሰብአ ወኢተፈልጠ መለኮቱ እምትስብእቱ ዘከሀወ ደሞ በሥምረት ላዕለ ልሕኲቱ ግበር እዴከ ቅዱስ ላዕለ ዝንቱ ጽዋዕ ; Over the bread basket ጸሎት ላዕለ መሶብ እግዚአብሔር አምላክነ ዘይቤሎሙ ለሙሴ ገብረ ወነቢዩ በደብረ ሲና ግበሩ ንዋየ ኅሩየ ወአንብሮ ውስተ ደብተራየ ወይእዜኒ እግዚኦ አምላክነ አኃዜ ኲሉ ስፉሕ የማነከ ቅድሳት ላዕለ ዛቲ መሶብ ; prayer when the priest is covering the altar and the chalice ወእምዝ ይውጥን በልብሰ ታቦት ወይክድን መንበረ ወጽዋዐ... እንዘ ያለብስ ታቦት ወያስተናብር እግዚአብሔር ማእምረ ልብ ዘኩሉ ለለ ፩ዱ ፩ዱ  ወቅዱስ ዘየዐርፍ በቅዱሳኑ","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/21198%2Fzz0009kfcn",""
