Project Name,Parent ARK,Item ARK,Object Type,viewingHint,Text direction,File Name,AltIdentifier.local,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx73q,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx73q_1266590_master.tif,Ms. 7_1,1,Page 1,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx73q
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx747,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx747_1266593_master.tif,Ms. 7_2,2,Page 2,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx747
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx75r,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx75r_1266598_master.tif,Ms. 7_3,3,Page 3,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx75r
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx768,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx768_1266602_master.tif,Ms. 7_4,4,Page 4,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx768
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx77s,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx77s_1266605_master.tif,Ms. 7_5,5,Page 5,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx77s
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx789,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx789_1266610_master.tif,Ms. 7_6,6,Page 6,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx789
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx79t,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx79t_1266613_master.tif,Ms. 7_7,7,Page 7,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx79t
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7bb,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7bb_1266616_master.tif,Ms. 7_8,8,Page 8,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7bb
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7cv,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7cv_1276018_master.tif,Ms. 7_9,9,Page 9,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7cv
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7dc,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7dc_1266620_master.tif,Ms. 7_10,10,Page 10,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7dc
