Project Name,Parent ARK,Item ARK,Object Type,File Name,AltIdentifier.local,viewingHint,Text direction ,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hpw2g,Page,ethiopian/masters/21198-zz001hpw2g_1307624_master.tif,Ms. 59_1,,,1,Page 1,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpw2g,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hpw30,Page,ethiopian/masters/21198-zz001hpw30_1307627_master.tif,Ms. 59_2,,,2,Page 2,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpw30,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hpw4h,Page,ethiopian/masters/21198-zz001hpw4h_1307630_master.tif,Ms. 59_3,,,3,Page 3,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpw4h,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hpw51,Page,ethiopian/masters/21198-zz001hpw51_1307633_master.tif,Ms. 59_4,,,4,Page 4,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpw51,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hpw6j,Page,ethiopian/masters/21198-zz001hpw6j_1307636_master.tif,Ms. 59_5,,,5,Page 5,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpw6j,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hpw72,Page,ethiopian/masters/21198-zz001hpw72_1307639_master.tif,Ms. 59_6,,,6,Page 6,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpw72,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hpw8k,Page,ethiopian/masters/21198-zz001hpw8k_1307642_master.tif,Ms. 59_7,,,7,Page 7,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpw8k,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hpw93,Page,ethiopian/masters/21198-zz001hpw93_1307645_master.tif,Ms. 59_8,,,8,Page 8,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpw93,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hpwbm,Page,ethiopian/masters/21198-zz001hpwbm_1307648_master.tif,Ms. 59_9,,,9,Page 9,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpwbm,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hpwc4,Page,ethiopian/masters/21198-zz001hpwc4_1307651_master.tif,Ms. 59_10,,,10,Page 10,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpwc4,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hpwdn,Page,ethiopian/masters/21198-zz001hpwdn_1307654_master.tif,Ms. 59_11,,,11,Page 11,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpwdn,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hpwf5,Page,ethiopian/masters/21198-zz001hpwf5_1307657_master.tif,Ms. 59_12,,,12,Page 12,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpwf5,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hpwgp,Page,ethiopian/masters/21198-zz001hpwgp_1307660_master.tif,Ms. 59_13,,,13,Page 13,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpwgp,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hpwh6,Page,ethiopian/masters/21198-zz001hpwh6_1307663_master.tif,Ms. 59_14,,,14,Page 14,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpwh6,
