Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.creator,Name.subject,Name.contributor,Rights.servicesContact,Language,Type.genre,Subject,Rights.notice,Name.repository,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.creation,Date.normalized,Description.caption,Description.note,Description.abstract,Date.publication,IIIF Manifest URL
Faderman (Lillian) Collection,ark:/21198/zz0017m7kv,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p5rc,text,copyrighted,N,unpublished,United States,,"Crompton, Louis",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding German Lesbian Material,"March 21, 1977",1977-03-21,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017m7kv/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017p5vx,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p66k,text,copyrighted,N,unpublished,United States,,"Grier, Barbara",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Lesbian Writing and Reviewing and Personal Lesbian Collection,"March 21, 1977",1977-03-21,,Rights.statementLocal: Need to obtain permission to publish from original author.|~|Rights.statementLocal: Item includes personal information (author's address).,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017p5vx/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017p5wf,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p673,text,copyrighted,N,unpublished,United States,,"Perl, Harriet",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Literature,"July 9, 1977",1977-07-09,,Rights.statementLocal: Need to obtain permission to publish from original author.|~|Rights.statementLocal: Item includes personal information (author's address).,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017p5wf/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017p5xz,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p694,text,copyrighted,N,unpublished,United States,,"Lochridge, Dorothy",,"Faderman, Lillian|~|Dickinson, Emily, 1830-1886",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Thesis on Emily Dickinson,"March 21, 1977",1977-03-21,,Rights.statementLocal: Item includes personal information (author's address).|~|Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017p5xz/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017p5zg,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p6bn,text,copyrighted,N,unpublished,United States,,"Perl, Harriet",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians in literature--History|~|Homosexuality--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Literature and Faderman's Article,"August 7, 1977",1977-08-07,,Rights.statementLocal: Need to obtain permission to publish from original author.|~|Rights.statementLocal: Item includes personal information (author's address).,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017p5zg/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017p60g,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p6gq,text,copyrighted,N,unpublished,United States,,"Perl, Harriet",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Faderman's Manuscript,"September 5, 1977",1977-09-05,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017p60g/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017p610,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p6n9,text,copyrighted,N,unpublished,United States,,"Perl, Harriet",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Writing and Research,"October 3, 1977",1977-10-03,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017p610/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017p62h,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p6sc,text,copyrighted,N,unpublished,United States,,,,"Faderman, Lillian",,,eng,,Correspondence - Other (Faderman)|~|Homosexuality and literature,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Homosexual Subplots,"October 22, 1977",1977-10-22,,need to obtain permission to publish from copyright holder (original author)|~|original author unknown|~|includes personal information: author's address,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017p62h/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017p631,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p6tw,text,copyrighted,N,unpublished,United States,,"Perl, Harriet",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman),,June L. Mazer Lesbian Archives,individuals,,private,,Letter Thanking Faderman for Dinner,"October 24, 1977",1977-10-24,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017p631/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017p64j,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017p6xf,text,copyrighted,N,unpublished,United States,,"Noble, Judith",,"Faderman, Lillian|~|Dickinson, Emily, 1830-1886",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Emily Dickinson,"February 22, 1978",1978-02-22,,Rights.statementLocal: Need to obtain permission to publish from original author.|~|Rights.statementLocal: Item includes personal information (author's address).,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017p64j/manifest
