Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Rights.copyrightStatus,Name.subject,Subject.descriptiveTopic,Language,Name.repository,Rights.permission,Type.genre,Name.photographer,Name.creator,Relation.isPartOf,Name.collector,Name.architect,Subject.conceptTopic,Date.creation,Date.normalized,Description.longitude,Title,AltTitle.uniform,Alt ID.local,Format.extent,Description.latitude,Description.note,Coverage.geographic,Description.fundingNote,Format.dimensions,AltTitle.other,Alternate Identifier.local,Description.abstract,Description.caption,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Pierce (C.C.) Photographic Collection,ark:/21198/zz00294nxr,,2,Completed,Collection,,,,,,private,still image,copyrighted,,Los Angeles (Calif.) $x History $y 20th century.,eng|~|zxx,"University of California, Los Angeles. $b Library Special Collections",N,black-and-white photographs|~|cellulose nitrate film,"Pierce, C. C. $q (Charles C.), $d1861-1946",,,,,,[between 1898 and 1934],1898/1934,,"C.C. Pierce Photographic Collection, circa 1898-1934",Pierce (C.C.) Photographic Collection,Collection 1756,,,"This collection consists of glass photonegatives, glass positive transparencies, and black & white photographic prints of the photographer C.C. Pierce (1861-1946). The subject matter primarily covers Los Angeles and the surrounding vicinity. ","California, Southern|~|Los Angeles (Calif.)",Access to this collection is generously supported by Arcadia funds.,,,,"Charles C. Pierce (1861-1946) was a pioneer Los Angeles photographer. He came to Los Angeles in 1886 from Chicago because of his health and remained until his death in 1946. Along with two other photographers who accompanied him, he began to document the people and architecture of the area. Collection consists of historic negatives and prints. Most are of Southern California scenes; Los Angeles is well represented with views of downtown streets, commercial and civic buildings, and residential areas.",,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5743132,https://oac.cdlib.org/findaid/ark:/13030/kt809nd7nq/,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz00294nxr
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b14t1,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0017_b0320.tif,,,,,private,still image,copyrighted,,Palms $z California $z Los Angeles|~|Roses $z California $z Los Angeles|~|Houses $z California $z Los Angeles,eng,"University of California, Los Angeles. $b Library Special Collections",N,exterior views|~|black-and-white photographs|~|cellulose nitrate film,,,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Landmarks|~|People,1898,1898,-118.23715925216675,"Huber and Barclay's rose-covered cottage on Spring Street, Los Angeles, 1898",,uclamss_1756_0017_b0320,1 photograph : b&w,34.06123695965352,"Photograph of a La Margner (La Marne?) rose-covered cottage belonging to Mrs. Barclay at 747 Spring Street. The house is nearly hidden behind the roses, but the steps to the front door and a porch with a lattice railing are visible.",Los Angeles (Calif.),Access to this collection is generously supported by Arcadia funds.,,"La Margner roses at cottage of Mrs. Barclay, Spring St.",,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b14t1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b14t1/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b14vj,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0019_c0083a.tif,,,,,private,still image,copyrighted,Avenal (Calif.),Petroleum industry $z California $z Avenal|~|Santa Lucia Range (Calif.),zxx,"University of California, Los Angeles. $b Library Special Collections",N,panoramas|~|black-and-white photographs|~|cellulose nitrate film,"Pierce, C. C. $q (Charles C.), $d1861-1946",,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Environment,[circa 1929],1929,-120.1290272,"View towards the town of Avenal in the Salinas valley with the Santa Lucia mountain range in the distance, Avenal, circa 1929",,uclamss_1756_0019_c0083a,1 photograph : b&w,36.0041223,"View down a dirt road towards the town of Avenal which appears as a narrow band of buildings and power poles along the main road through town, with the Santa Lucia mountain range in the background. The buildings appear to be mostly houses, a few businesses and a church on the far right. There is also an oil rig on the center-right side of town. Legible signage in the photograph includes: Golden Rule Shoe Shop, The Republic Supply Co. of California, and H. C. Smith MFG Co.|~|The identification of the town as Avenal was made on the basis of the visible signage in the photograph and the presence of the oil rig. In 1928 the Milham Exploration Company struck oil, turning this agricultural community into a boomtown. The Republic Supply Company is listed in Wikipedia as one of the first business established at Avenal at this time. In 1929, the California-based H. C. Smith Manufacturing Company was sold by its founder, Herman C. Smith, to Global Oil Tools.",Avenal (Calif.),Access to this collection is generously supported by Arcadia funds.,8x 10 inches,"C.C. Pierce & Co., 1572 W. Pico St., L.A., 19",,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b14vj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b14vj/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b14w2,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0019_c0083b.tif,,,,,private,still image,copyrighted,Avenal (Calif.),Petroleum industry $z California $z Avenal|~|Santa Lucia Range (Calif.),zxx,"University of California, Los Angeles. $b Library Special Collections",N,panoramas|~|black-and-white photographs|~|cellulose nitrate film,"Pierce, C. C. $q (Charles C.), $d1861-1946",,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Environment,,,-120.1290272,"View towards the town of Avenal in the Salinas valley with the Santa Lucia mountain range in the distance, Avenal, circa 1929",,10|~|uclamss_1756_0019_c0083b,1 photograph : b&w,36.0041223,"View down a dirt road towards the town of Avenal which appears as a narrow band of buildings and power poles along the main road through town, with the Santa Lucia mountain range in the background. The buildings appear to be mostly houses, a few businesses and a church on the far right. There is also an oil rig on the center-right side of town. Legible signage in the photograph includes: Golden Rule Shoe Shop, The Republic Supply Co. of California, and H. C. Smith MFG Co.|~|The identification of the town as Avenal was made on the basis of the visible signage in the photograph and the presence of the oil rig. In 1928 the Milham Exploration Company struck oil, turning this agricultural community into a boomtown. The Republic Supply Company is listed in Wikipedia as one of the first business established at Avenal at this time. In 1929, the California-based H. C. Smith Manufacturing Company was sold by its founder, Herman C. Smith, to Global Oil Tools.",Avenal (Calif.),Access to this collection is generously supported by Arcadia funds.,8x 10 inches,"C.C. Pierce & Co., 1572 W. Pico St., L.A., 19",,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b14w2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b14w2/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b14xk,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0020_c0083.tif,,,,,private,still image,copyrighted,Avenal (Calif.),Petroleum industry $z California $z Avenal|~|Santa Lucia Range (Calif.),zxx,"University of California, Los Angeles. $b Library Special Collections",N,panoramas|~|black-and-white photographs|~|cellulose nitrate film,"Pierce, C. C. $q (Charles C.), $d1861-1946",,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Environment,[circa 1929],1929,-120.1290272,"View towards the town of Avenal in the Salinas valley with the Santa Lucia mountain range in the distance, Avenal, circa 1929",,20|~|uclamss_1756_0020_c0083,1 photograph : b&w,36.0041223,"View down a dirt road towards the town of Avenal which appears as a narrow band of buildings and power poles along the main road through town, with the Santa Lucia mountain range in the background. The buildings appear to be mostly houses, a few businesses and a church on the far right. There is also an oil rig on the center-right side of town. Legible signage in the photograph includes: Golden Rule Shoe Shop, The Republic Supply Co. of California, and H. C. Smith MFG Co.|~|The identification of the town as Avenal was made on the basis of the visible signage in the photograph and the presence of the oil rig. In 1928 the Milham Exploration Company struck oil, turning this agricultural community into a boomtown. The Republic Supply Company is listed in Wikipedia as one of the first business established at Avenal at this time. In 1929, the California-based H. C. Smith Manufacturing Company was sold by its founder, Herman C. Smith, to Global Oil Tools.",Avenal (Calif.),Access to this collection is generously supported by Arcadia funds.,8 x 10 inches,"C.C. Pierce & Co., 1572 W. Pico St., L.A., 20",,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b14xk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b14xk/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b14z3,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0024_c0066.tif,,,,,private,still image,copyrighted,,Real estate business $z California,zxx,"University of California, Los Angeles. $b Library Special Collections",N,black-and-white photographs|~|cellulose nitrate film,"Pierce, C. C. $q (Charles C.), $d1861-1946",,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.",,,Government|~|Business|~|Environment,[circa 1910-1920],1910/1920,,"Sale of land tracts in open area, California, circa 1900-1920",,uclamss_1756_0024_c0066,1 photograph : b&w,,"Encampment of families with parked cars, tents and shacks in an area of open land. A chalk board in front of one tent reads: ""patented lands in tracts from..."" and appears to list acreage and prices. A sign next to the tent reads: ""John R. Doran, lots, leases, claims."" Behind the tent is a shack with a sign that reads: Coca C[ola] sold...and a there is a large truck with a Coca Cola sigh painted on it in the background",(Calif.),Access to this collection is generously supported by Arcadia funds.,5 x 7 inches,24,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b14z3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b14z3/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b1503,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0032_b0323.tif,,,,,private,still image,copyrighted,,Palms $z California $z Los Angeles,eng,"University of California, Los Angeles. $b Library Special Collections",N,black-and-white photographs|~|cellulose nitrate film,,,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Landmarks|~|Environment,[1888],1888,,"Oldest date palm in the city of Los Angeles on Date Street, ca. 1888",,32|~|uclamss_1756_0032_b0323,1 photograph : b&w,,Oldest date palm in the city of Los Angeles on Date Street. Residence of J. J.  Rodriguez. The ivy-covered palm tree towers over nearby trees and shrubs. Other dwellings and their back yards are visible.,Los Angeles (Calif.),Access to this collection is generously supported by Arcadia funds.,4.75 x 7.5 inches,Old date palm. Residence of J. J. Rodriguez on Date St.,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b1503,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b1503/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b151m,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0064_c0024.tif,,,,,private,still image,copyrighted,,Bells,eng,"University of California, Los Angeles. $b Library Special Collections",N,black-and-white photographs|~|cellulose nitrate film,"Pierce, C. C. $q (Charles C.), $d1861-1946",,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Landmarks|~|Religion|~|Culture,1887,1887,,"Mission bells at Old Town, San Diego, 1887",,64|~|uclamss_1756_0064_c0024,1 photograph : b&w,,"Mission bells at Old Town, San Diego. The bells that chimed for Ramona's wedding, 1887. The two bells are hung from a wooden beam structure separate from the wooden slat building behind them. A man is standing in the foreground. In the background is a wood rail fence, a low hill and an adobe wall enclosing, possibly, a cemetery.",San Diego (Calif.),Access to this collection is generously supported by Arcadia funds.,8 x 5 inches,"Bells which chimed for Ramona's wedding. Old town, San Diego",,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b151m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b151m/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b1524,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0085_c0034.tif,,,,,private,still image,copyrighted,San Buenaventura Mission,Missions $z California $z Ventura|~|Mission churches $z California $z Ventura|~|Historic buildings $z California $z Ventura,eng,"University of California, Los Angeles. $b Library Special Collections",N,interior views|~|black-and-white photographs|~|cellulose nitrate film,"Pierce, C. C. $q (Charles C.), $d1861-1946",,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Landmarks|~|Religion|~|Culture,,,-119.29822,"Mission San Buenaventura, interior of church showing pulpit and altar, Ventura, ca. 1888",,85|~|uclamss_1756_0085_c0034,1 photograph : b&w,34.281679,Interior showing pulpit and altar. Five rows of pews can be seen. Wood ceiling is visible.,Ventura (Calif.),Access to this collection is generously supported by Arcadia funds.,8 x 5  inches,Interior of mission at San Buenaventura,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b1524,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b1524/manifest
Pierce (C.C.) Photographic Collection,ark:/21198/zz002b153n,ark:/21198/zz00294nxr,2,Completed,Work,pierce/image/uclamss_1756_0086_c0023.tif,,,,,private,still image,copyrighted,"Santa Margarita de Cortona Asistencia (Rancho Santa Margarita, Calif.)|~|Field, Frederick A. $q (Alden), $c Reverend, $d 1852-1918|~|Clendenen, Mrs.|~|Field, Clara May McDonald, $d 1854-1944|~|Field, Bessie L., $d 1882-1967",Missions $z California $z Rancho Santa Margarita|~|Historic buildings $z California $z Santa Margarita,eng,"University of California, Los Angeles. $b Library Special Collections",N,exterior views|~|black-and-white photographs|~|cellulose nitrate film,Clendenen,,"C. C. Pierce Photographic Collection,UCLA Library Special Collections, Charles E. Young Research Library.","Pierce, C. C. $q (Charles C.), $d1861-1946",,Religion|~|Culture|~|Environment,[circa 1888-1889],1888/1889,-120.60928344726562,"Ruins of Santa Margarita de Cortona Asistencia, Santa Margarita, ca. 1888-1889",,86|~|uclamss_1756_0086_c0023,1 photograph : b&w,35.388840049195984,"Photograph of ruins of Santa Margarita de Cortona Asistencia, in Santa Margarita near San Louis Obispo. A wooden rail fence is on the right. The six people in front of the ruin include Mrs. Clendenen, Rev. Frederick A.  Field, his wife Clara and daughter Bessie. The ground is overgrown with scrub brush.",Rancho Santa Margarita (Calif.),Access to this collection is generously supported by Arcadia funds.,8 x 5 inches,Ruins of Santa Margurita,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b153n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b153n/manifest
