"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Author","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Type.genre","Language","Rights.publicationStatus","Subject","Relation.isPartOf","Name.subject","Name.illustrator","Name.creator","Name.photographer","Coverage.geographic","Name.repository","Name.engraver","Name.printer","Title","Description.note","Alt ID.local","Date.normalized","Date.creation","AltTitle.other","Description.caption","Format.dimensions","Format.extent","Description.contents","Publisher.placeOfOrigin","Alt ID.oclc","Publisher.publisherName","Description.caption","AltTitle.translated","Opac url","AltTitle.uniform","Description.tableOfContents","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Rare Books (YRL Special Collections)","ark:/21198/zz0009m402","ark:/21198/zz0009m3z2","2","Completed","Page","rarebook/masters/srgb/21198-zz0009m402-1-master.tif","4","","","","","","","private","","still image","","","","","","","","","","","","","","","Plate No. 12","","F868_Y6_P5_1867_pl12","","","","","","1 photographic print : albumen","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009m402",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009m41k","ark:/21198/zz0009m3z2","2","Completed","Page","rarebook/masters/srgb/21198-zz0009m41k-1-master.tif","2","","","","","","","private","","still image","","","","","","","","","","","","","","","Plate No. 6","","F868_Y6_P5_1867_pl06","","","","","","1 photographic print : albumen","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009m41k",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009m423","ark:/21198/zz0009m3z2","2","Completed","Page","rarebook/masters/srgb/21198-zz0009m423-1-master.tif","3","","","","","","","private","","still image","","","","","","","","","","","","","","","Plate No. 9 : Yosemite Valley from Mariposa Trail","","F868_Y6_P5_1867_pl09","","","","","","1 photographic print : albumen","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009m423",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009m43m","ark:/21198/zz0009m3z2","2","Completed","Page","rarebook/masters/srgb/21198-zz0009m43m-1-master.tif","5","","","","","","","private","","still image","","","","","","","","","","","","","","","Plate No. 14","","F868_Y6_P5_1867_pl14","","","","","","1 photographic print : albumen","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009m43m",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009m444","ark:/21198/zz0009m3z2","2","Completed","Page","rarebook/masters/srgb/21198-zz0009m444-1-master.tif","6","","","","","","","private","","still image","","","","","","","","","","","","","","","Plate No. 16 : Bridal Veil Falls","","F868_Y6_P5_1867_pl16","","","","","","1 photographic print : albumen","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009m444",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009m45n","ark:/21198/zz0009m3z2","2","Completed","Page","rarebook/masters/srgb/21198-zz0009m45n-1-master.tif","7","","","","","","","private","","still image","","","","","","","","","","","","","","","Plate No. 21 : Cathedral Rock view from front","","F868_Y6_P5_1867_pl21","","","","","","1 photographic print : albumen","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009m45n",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009m465","ark:/21198/zz0009m3z2","2","Completed","Page","rarebook/masters/srgb/21198-zz0009m465-1-master.tif","8","","","","","","","private","","still image","","","","","","","","","","","","","","","Plate No. 22 : Cathedral Spires","","F868_Y6_P5_1867_pl22","","","","","","1 photographic print : albumen","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009m465",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009m47p","ark:/21198/zz0009m3z2","2","Completed","Page","rarebook/masters/srgb/21198-zz0009m47p-1-master.tif","9","","","","","","","private","","still image","","","","","","","","","","","","","","","Plate No. 26 :  El Capitan","","F868_Y6_P5_1867_pl26","","","","","","1 photographic print : albumen","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009m47p",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009m486","ark:/21198/zz0009m3z2","2","Completed","Page","rarebook/masters/srgb/21198-zz0009m486-1-master.tif","10","","","","","","","private","","still image","","","","","","","","","","","","","","","Plate No. 28 : The Three Brothers","","F868_Y6_P5_1867_pl28","","","","","","1 photographic print : albumen","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009m486",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009m49q","ark:/21198/zz0009m3z2","2","Completed","Page","rarebook/masters/srgb/21198-zz0009m49q-1-master.tif","11","","","","","","","private","","still image","","","","","","","","","","","","","","","Plate No. 33 : Sentinel Rock","","F868_Y6_P5_1867_pl33","","","","","","1 photographic print : albumen","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009m49q",""
