Project Name,Item ARK,Parent ARK,Object Type,Item Sequence,File Name,Type.typeOfResource,Name.repository,Name.photographer,Rights.copyrightStatus,Type.genre,Subject,Description.abstract,Description.note,Title,Alt ID.local,Description.fundingNote,Format.extent,Format.medium,Relation.isPartOf,Date.creation,Date.normalized,Coverage.geographic,Description.caption,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Sachtleben (William) Images of Armenian Massacre,ark:/21198/zz002hj450,,Collection,,,still image,"University of California, Los Angeles. $b Library Special Collections","Sachtleben, William Lewis",pd,black-and-white photographs|~|cellulose nitrate film,"Armenian massacres, 1894-1896 $z Turkey $z Erzurum|~|Armenia $x History $y 1801-1900","On Wednesday, October 30, 1895, Armenians were massacred in Erzurum and the surrounding Armenian villages. American journalist William Sachtleben happened to be in Erzurum at that time, investigating the disappearance of American cyclist Frank Lenz. During the massacre Sachtleben was in the American mission building, where over 200 Armenians fled for protection. Sachtleben witnessed the aftermath of the massacre; he took photographs of the victims in the Armenian Cemetery and wrote three lengthy and detailed letters about the massacre that were published, unsigned and attributed to an Occasional Correspondent, in the London Times on November 16, 27 and December 9. In the Nov. 16 letter he wrote: ""Saturday, Nov. 2...I went with one of the cavasses of the English Legation, a soldier, my interpreter, and a photographer (Armenian) to the Armenian Gregorian Cemetery. The municipality had sent down a number of bodies, friends had brought more, and a horrible sight met my eyes. Along the wall on the north in a row 20ft. wide and 150ft. long, lay 321 dead bodies of the massacred Armenians..."" In the Times Nov. 27 letter, Sachtleben wrote: ""The number of houses of Armenians in Erzerum is about 2,000...Of these 2,000 houses, about 1,500 to 1,800 are completely emptied of their contents. Many families, formerly well-to-do, are now completely in poverty, having lost all their goods in the shops and all their household articles as well...""","On Wednesday, October 30, 1895, Armenians were massacred in Erzurum and the surrounding Armenian villages. American journalist William Sachtleben happened to be in Erzurum at that time, investigating the disappearance of American cyclist Frank Lenz. During the massacre Sachtleben was in the American mission building, where over 200 Armenians fled for protection. Sachtleben witnessed the aftermath of the massacre; he took photographs of the victims in the Armenian Cemetery and wrote three lengthy and detailed letters about the massacre that were published, unsigned and attributed to an Occasional Correspondent, in the London Times on November 16, 27 and December 9. In the Nov. 16 letter he wrote: ""Saturday, Nov. 2...I went with one of the cavasses of the English Legation, a soldier, my interpreter, and a photographer (Armenian) to the Armenian Gregorian Cemetery. The municipality had sent down a number of bodies, friends had brought more, and a horrible sight met my eyes. Along the wall on the north in a row 20ft. wide and 150ft. long, lay 321 dead bodies of the massacred Armenians..."" In the Times Nov. 27 letter, Sachtleben wrote: ""The number of houses of Armenians in Erzerum is about 2,000...Of these 2,000 houses, about 1,500 to 1,800 are completely emptied of their contents. Many families, formerly well-to-do, are now completely in poverty, having lost all their goods in the shops and all their household articles as well...""",Sachtleben (William) Images of Armenian Massacre,,Access to this collection is generously supported by Arcadia funds.,,,,"October 31, 1895-November 2, 1895",1895-10-31/1895-11-02,Turkey--Erzurum,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfsn2,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002hj450
Sachtleben (William) Images of Armenian Massacre,ark:/21198/zz002hfsdf,ark:/21198/zz002hj450|~|ark:/21198/zz001nx6sg,Work,,sachtleben_massacre/image/uclamss_1841_0317.tif,still image,"University of California, Los Angeles. $b Library Special Collections","Sachtleben, William Lewis",pd,black-and-white photographs|~|cellulose nitrate film,"Armenian massacres, 1894-1896 $z Turkey $z Erzurum|~|Cemeteries $z Turkey $z Erzurum|~|Dead persons $z Turkey $z Erzurum|~|Armenia $x History $y 1801-1900",,"Photograph of the bodies of Armenian massacre victims laid out on the ground near a wall in the Armenian Cemetery in Erzurum, with three or four Armenian men standing next to them.|~|On Wednesday, October 30, 1895, Armenians were massacred in Erzurum and the surrounding Armenian villages. American journalist William Sachtleben happened to be in Erzurum at that time, investigating the disappearance of American cyclist Frank Lenz. During the massacre Sachtleben was in the American mission building, where over 200 Armenians fled for protection. Sachtleben witnessed the aftermath of the massacre; he took photographs of the victims in the Armenian Cemetery and wrote three lengthy and detailed letters about the massacre that were published, unsigned and attributed to an Occasional Correspondent, in the London Times on November 16, 27 and December 9. In the Nov. 16 letter he wrote: ""Saturday, Nov. 2...I went with one of the cavasses of the English Legation, a soldier, my interpreter, and a photographer (Armenian) to the Armenian Gregorian Cemetery. The municipality had sent down a number of bodies, friends had brought more, and a horrible sight met my eyes. Along the wall on the north in a row 20ft. wide and 150ft. long, lay 321 dead bodies of the massacred Armenians...""","Armenian massacre victims laid out in the Armenian Gregorian Cemetery, Erzurum, Turkey, 1895",uclamss_1841_0317,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","November 1, 1895-November 2, 1895",1895-11-01/1895-11-02,Turkey--Erzurum,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfsdf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfsdf/manifest
Sachtleben (William) Images of Armenian Massacre,ark:/21198/zz002hfsfz,ark:/21198/zz002hj450|~|ark:/21198/zz001nx6sg,Work,,sachtleben_massacre/image/uclamss_1841_0318.tif,still image,"University of California, Los Angeles. $b Library Special Collections","Sachtleben, William Lewis",pd,black-and-white photographs|~|cellulose nitrate film,"Armenian massacres, 1894-1896 $z Turkey $z Erzurum|~|Destruction & pillage|~|Armenia $x History $y 1801-1900|~|Dwellings $z Turkey $z Erzurum",,"On Wednesday, October 30, Armenians were massacred in Erzurum and the surrounding Armenian villages. American journalist William Sachtleben happened to be in Erzurum at that time, investigating the disappearance of American cyclist Frank Lenz. During the massacre Sachtleben was in the American mission building, where over 200 Armenians fled for protection. Sachtleben witnessed the aftermath of the massacre; he took photographs of the victims in the Armenian Cemetery and wrote three lengthy and detailed letters about the massacre that were published, unsigned and attributed to an Occasional Correspondent, in the London Times on November 16, 27 and December 9. In the Nov. 16 letter he wrote: ""Saturday, Nov. 2...I went with one of the cavasses of the English Legation, a soldier, my interpreter, and a photographer (Armenian) to the Armenian Gregorian Cemetery. The municipality had sent down a number of bodies, friends had brought more, and a horrible sight met my eyes. Along the wall on the north in a row 20ft. wide and 150ft. long, lay 321 dead bodies of the massacred Armenians..."" In the Times Nov. 27 letter, Sachtleben wrote: ""The number of houses of Armenians in Erzerum is about 2,000...Of these 2,000 houses, about 1,500 to 1,800 are completely emptied of their contents. Many families, formerly well-to-do, are now completely in poverty, having lost all their goods in the shops and all their household articles as well...""|~|Photograph of a man standing outside an Armenian house with a damaged door after the October 30th massacre in Erzurum.","Man standing outside an Armenian house after the October 30th massacre, Erzurum, Turkey, 1895",uclamss_1841_0318,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","October 31, 1895-November 2, 1895",1895-10-31/1895-11-02,Turkey--Erzurum,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfsfz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfsfz/manifest
Sachtleben (William) Images of Armenian Massacre,ark:/21198/zz002hfsgg,ark:/21198/zz002hj450|~|ark:/21198/zz001nx6sg,Work,,sachtleben_massacre/image/uclamss_1841_0319.tif,still image,"University of California, Los Angeles. $b Library Special Collections","Sachtleben, William Lewis",pd,black-and-white photographs|~|cellulose nitrate film,"Armenian massacres, 1894-1896 $z Turkey $z Erzurum|~|Destruction & pillage|~|Armenia $x History $y 1801-1900|~|Dwellings $z Turkey $z Erzurum",,"On Wednesday, October 30, Armenians were massacred in Erzurum and the surrounding Armenian villages. American journalist William Sachtleben happened to be in Erzurum at that time, investigating the disappearance of American cyclist Frank Lenz. During the massacre Sachtleben was in the American mission building, where over 200 Armenians fled for protection. Sachtleben witnessed the aftermath of the massacre; he took photographs of the victims in the Armenian Cemetery and wrote three lengthy and detailed letters about the massacre that were published, unsigned and attributed to an Occasional Correspondent, in the London Times on November 16, 27 and December 9. In the Nov. 16 letter he wrote: ""Saturday, Nov. 2...I went with one of the cavasses of the English Legation, a soldier, my interpreter, and a photographer (Armenian) to the Armenian Gregorian Cemetery. The municipality had sent down a number of bodies, friends had brought more, and a horrible sight met my eyes. Along the wall on the north in a row 20ft. wide and 150ft. long, lay 321 dead bodies of the massacred Armenians..."" In the Times Nov. 27 letter, Sachtleben wrote: ""The number of houses of Armenians in Erzerum is about 2,000...Of these 2,000 houses, about 1,500 to 1,800 are completely emptied of their contents. Many families, formerly well-to-do, are now completely in poverty, having lost all their goods in the shops and all their  household articles as well...""|~|Armenian house with broken windows after the October 30th massacre in Erzurum. The house fronts the street with an adjoining wall enclosing the yard to the left.","Armenian house after the October 30th massacre, Erzurum, Turkey, 1895",uclamss_1841_0319,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","October 31, 1895-November 2, 1895",1895-10-31/1895-11-02,Turkey--Erzurum,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfsgg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfsgg/manifest
Sachtleben (William) Images of Armenian Massacre,ark:/21198/zz002hfsh0,ark:/21198/zz002hj450|~|ark:/21198/zz001nx6sg,Work,,sachtleben_massacre/image/uclamss_1841_0320.tif,still image,"University of California, Los Angeles. $b Library Special Collections","Sachtleben, William Lewis",pd,black-and-white photographs|~|cellulose nitrate film,"Armenian massacres, 1894-1896 $z Turkey $z Erzurum|~|Cemeteries $z Turkey $z Erzurum|~|Dead persons $z Turkey $z Erzurum|~|Armenia $x History $y 1801-1900",,"On Wednesday, October 30, 1895, Armenians were massacred in Erzurum and the surrounding Armenian villages. American journalist William Sachtleben happened to be in Erzurum at that time, investigating the disappearance of American cyclist Frank Lenz. During the massacre Sachtleben was in the American mission building, where over 200 Armenians fled for protection. Sachtleben witnessed the aftermath of the massacre; he took photographs of the victims in the Armenian Cemetery and wrote three lengthy and detailed letters about the massacre that were published, unsigned and attributed to an Occasional Correspondent, in the London Times on November 16, 27 and December 9. In the Nov. 16 letter he wrote: ""Saturday, Nov. 2...I went with one of the cavasses of the English Legation, a soldier, my interpreter, and a photographer (Armenian) to the Armenian Gregorian Cemetery. The municipality had sent down a number of bodies, friends had brought more, and a horrible sight met my eyes. Along the wall on the north in a row 20ft. wide and 150ft. long, lay 321 dead bodies of the massacred Armenians...""|~|Photograph of the bodies of Armenian massacre victims laid out in an open area on the ground near a wall and a stand of trees in the Armenian Cemetery in Erzurum.","Armenian massacre victims laid out in the Armenian Gregorian Cemetery, Erzurum, Turkey, 1895",uclamss_1841_0320,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","November 1, 1895-November 2, 1895",1895-11-01/1895-11-02,Turkey--Erzurum,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfsh0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfsh0/manifest
Sachtleben (William) Images of Armenian Massacre,ark:/21198/zz002hfsjh,ark:/21198/zz002hj450|~|ark:/21198/zz001nx6sg,Work,,sachtleben_massacre/image/uclamss_1841_0321.tif,still image,"University of California, Los Angeles. $b Library Special Collections","Sachtleben, William Lewis",pd,black-and-white photographs|~|cellulose nitrate film,"Armenian massacres, 1894-1896 $z Turkey $z Erzurum|~|Cemeteries $z Turkey $z Erzurum|~|Dead persons $z Turkey $z Erzurum|~|Armenia $x History $y 1801-1900",,"On Wednesday, October 30, 1895, Armenians were massacred in Erzurum and the surrounding Armenian villages. American journalist William Sachtleben happened to be in Erzurum at that time, investigating the disappearance of American cyclist Frank Lenz. During the massacre Sachtleben was in the American mission building, where over 200 Armenians fled for protection. Sachtleben witnessed the aftermath of the massacre; he took photographs of the victims in the Armenian Cemetery and wrote three lengthy and detailed letters about the massacre that were published, unsigned and attributed to an Occasional Correspondent, in the London Times on November 16, 27 and December 9. In the Nov. 16 letter he wrote: ""Saturday, Nov. 2...I went with one of the cavasses of the English Legation, a soldier, my interpreter, and a photographer (Armenian) to the Armenian Gregorian Cemetery. The municipality had sent down a number of bodies, friends had brought more, and a horrible sight met my eyes. Along the wall on the north in a row 20ft. wide and 150ft. long, lay 321 dead bodies of the massacred Armenians...""","Innocent child victims of the Armenian massacre awaiting burial in the Armenian Gregorian Cemetery, Erzurum, Turkey, 1895",uclamss_1841_0321,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","November 1, 1895-November 2, 1895",1895-11-01/1895-11-02,Turkey--Erzurum,"""Some of the Innocent Victims of the Massacre. Lying together in the Armenian cemetery, awaiting burial, were the bodies of two children who had been killed in the general slaughter of Armenians by the Turks on October 30. The corpse of the mother is to be seen close by."" [""The Massacre at Erzeroum, October 30, 1895: From Photographs Taken on the Three Following Days."" The Graphic: An Illustrated Weekly Newspaper, Dec. 7, 1895. Quoted in Gia Aivazian, ""The W. L. Sachtleben Papers on Erzerum in the 1890s"" in Armenian Karin/Erzerum, ed. R. G. Hovannisian (2003)]",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfsjh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfsjh/manifest
Sachtleben (William) Images of Armenian Massacre,ark:/21198/zz002hfsk1,ark:/21198/zz002hj450|~|ark:/21198/zz001nx6sg,Work,,sachtleben_massacre/image/uclamss_1841_0322.tif,still image,"University of California, Los Angeles. $b Library Special Collections","Sachtleben, William Lewis",pd,black-and-white photographs|~|cellulose nitrate film,"Armenian massacres, 1894-1896 $z Turkey $z Erzurum|~|Cemeteries $z Turkey $z Erzurum|~|Dead persons $z Turkey $z Erzurum|~|Armenia $x History $y 1801-1900",,"Photograph of the bodies of Armenian massacre victims laid out in an open area on the ground near a wall in the Armenian Cemetery in Erzurum, with people gathered  along the wall.|~|On Wednesday, October 30, 1895, Armenians were massacred in Erzurum and the surrounding Armenian villages. American journalist William Sachtleben happened to be in Erzurum at that time, investigating the disappearance of American cyclist Frank Lenz. During the massacre Sachtleben was in the American mission building, where over 200 Armenians fled for protection. Sachtleben witnessed the aftermath of the massacre; he took photographs of the victims in the Armenian Cemetery and wrote three lengthy and detailed letters about the massacre that were published, unsigned and attributed to an Occasional Correspondent, in the London Times on November 16, 27 and December 9. In the Nov. 16 letter he wrote: ""Saturday, Nov. 2...I went with one of the cavasses of the English Legation, a soldier, my interpreter, and a photographer (Armenian) to the Armenian Gregorian Cemetery. The municipality had sent down a number of bodies, friends had brought more, and a horrible sight met my eyes. Along the wall on the north in a row 20ft. wide and 150ft. long, lay 321 dead bodies of the massacred Armenians...""","Armenian massacre victims laid out in the Armenian Gregorian Cemetery, Erzurum, Turkey, 1895",uclamss_1841_0322,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","November 1, 1895-November 2, 1895",1895-11-01/1895-11-02,Turkey--Erzurum,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfsk1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfsk1/manifest
Sachtleben (William) Images of Armenian Massacre,ark:/21198/zz002hfsmj,ark:/21198/zz002hj450|~|ark:/21198/zz001nx6sg,Work,,sachtleben_massacre/image/uclamss_1841_0323.tif,still image,"University of California, Los Angeles. $b Library Special Collections","Sachtleben, William Lewis",pd,black-and-white photographs|~|cellulose nitrate film,"Armenian massacres, 1894-1896 $z Turkey $z Erzurum|~|Cemeteries $z Turkey $z Erzurum|~|Dead persons $z Turkey $z Erzurum|~|Armenia $x History $y 1801-1900",,"Photograph of the bodies of Armenian massacre victims laid out on the ground between a wall and a stand of trees in the Armenian Cemetery in Erzurum, with people gathered along the wall.|~|On Wednesday, October 30, 1895, Armenians were massacred in Erzurum and the surrounding Armenian villages. American journalist William Sachtleben happened to be in Erzurum at that time, investigating the disappearance of American cyclist Frank Lenz. During the massacre Sachtleben was in the American mission building, where over 200 Armenians fled for protection. Sachtleben witnessed the aftermath of the massacre; he took photographs of the victims in the Armenian Cemetery and wrote three lengthy and detailed letters about the massacre that were published, unsigned and attributed to an Occasional Correspondent, in the London Times on November 16, 27 and December 9. In the Nov. 16 letter he wrote: ""Saturday, Nov. 2...I went with one of the cavasses of the English Legation, a soldier, my interpreter, and a photographer (Armenian) to the Armenian Gregorian Cemetery. The municipality had sent down a number of bodies, friends had brought more, and a horrible sight met my eyes. Along the wall on the north in a row 20ft. wide and 150ft. long, lay 321 dead bodies of the massacred Armenians...""","Armenian massacre victims laid out in the Armenian Gregorian Cemetery, Erzurum, Turkey, 1895",uclamss_1841_0323,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","November 1, 1895-November 2, 1895",1895-11-01/1895-11-02,Turkey--Erzurum,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfsmj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfsmj/manifest
Sachtleben (William) Images of Armenian Massacre,ark:/21198/zz002hfsn2,ark:/21198/zz002hj450|~|ark:/21198/zz001nx6sg,Work,,sachtleben_massacre/image/uclamss_1841_0324.tif,still image,"University of California, Los Angeles. $b Library Special Collections","Sachtleben, William Lewis",pd,black-and-white photographs|~|cellulose nitrate film,"Armenian massacres, 1894-1896 $z Turkey $z Erzurum|~|Cemeteries $z Turkey $z Erzurum|~|Dead persons $z Turkey $z Erzurum|~|Armenia $x History $y 1801-1900",,"On Wednesday, October 30, 1895, Armenians were massacred in Erzurum and the surrounding Armenian villages. American journalist William Sachtleben happened to be in Erzurum at that time, investigating the disappearance of American cyclist Frank Lenz. During the massacre Sachtleben was in the American mission building, where over 200 Armenians fled for protection. Sachtleben witnessed the aftermath of the massacre; he took photographs of the victims in the Armenian Cemetery and wrote three lengthy and detailed letters about the massacre that were published, unsigned and attributed to an Occasional Correspondent, in the London Times on November 16, 27 and December 9. In the Nov. 16 letter he wrote: ""Saturday, Nov. 2...I went with one of the cavasses of the English Legation, a soldier, my interpreter, and a photographer (Armenian) to the Armenian Gregorian Cemetery. The municipality had sent down a number of bodies, friends had brought more, and a horrible sight met my eyes. Along the wall on the north in a row 20ft. wide and 150ft. long, lay 321 dead bodies of the massacred Armenians...""|~|Photograph of the body of an Armenian massacre victim laid out on the ground in the Armenian Cemetery in Erzurum. The body of the deceased man is mutilated, recalling a passage in William Sachtleben's Nov. 16 letter in the London Times: ""Many [of the massacred] were fearfully mangled and mutilated. I saw one with his face completely smashed in with a blow of some heavy weapon after he was killed.""","Armenian massacre victim laid out in the Armenian Gregorian Cemetery, Erzurum, Turkey, 1895",uclamss_1841_0324,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","November 1, 1895-November 2, 1895",1895-11-01/1895-11-02,Turkey--Erzurum,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfsn2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfsn2/manifest
Sachtleben (William) Images of Armenian Massacre,ark:/21198/zz002hfspk,ark:/21198/zz002hj450|~|ark:/21198/zz001nx6sg,Work,,sachtleben_massacre/image/uclamss_1841_0325.tif,still image,"University of California, Los Angeles. $b Library Special Collections","Sachtleben, William Lewis",pd,black-and-white photographs|~|cellulose nitrate film,"Armenian massacres, 1894-1896 $z Turkey $z Erzurum|~|Cemeteries $z Turkey $z Erzurum|~|Dead persons $z Turkey $z Erzurum|~|Mass burials $z Turkey $z Erzurum|~|Armenia $x History $y 1801-1900",,"On Wednesday, October 30, 1895, Armenians were massacred in Erzurum and the surrounding Armenian villages. American journalist William Sachtleben happened to be in Erzurum at that time, investigating the disappearance of American cyclist Frank Lenz. During the massacre Sachtleben was in the American mission building, where over 200 Armenians fled for protection. Sachtleben witnessed the aftermath of the massacre; he took photographs of the victims in the Armenian Cemetery and wrote three lengthy and detailed letters about the massacre that were published, unsigned and attributed to an Occasional Correspondent, in the London Times on November 16, 27 and December 9. In the Nov. 16 letter he wrote: ""Saturday, Nov. 2...I went with one of the cavasses of the English Legation, a soldier, my interpreter, and a photographer (Armenian) to the Armenian Gregorian Cemetery. The municipality had sent down a number of bodies, friends had brought more, and a horrible sight met my eyes. Along the wall on the north in a row 20ft. wide and 150ft. long, lay 321 dead bodies of the massacred Armenians...""|~|Photograph of the bodies of Armenian massacre victims laid out in an open area on the ground between a wall (L) and a stand of trees in the Armenian Cemetery in Erzurum, with people gathered around them along the wall and standing among the trees.","Armenian massacre victims laid out in the Armenian Gregorian Cemetery, Erzurum, Turkey, 1895",uclamss_1841_0325,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","November 1, 1895-November 2, 1895",1895-11-01/1895-11-02,Turkey--Erzurum,"""A Grim Corner of the Cemetery. Nothing could be more convincing as to the truth of the reports of massacres than the sight of corpses laid out in the cemetery waiting until one large common grave had been dug for their reception. It is impossible to state the exact number of the killed, but one correspondent heard 400, and it is probable that the total reached about 1,000.""[""The Massacre at Erzeroum, October 30, 1895: From Photographs Taken on the Three Following Days."" The Graphic: An Illustrated Weekly Newspaper, Dec. 7, 1895. Quoted in  Gia Aivazian, ""The W. L. Sachtleben Papers on Erzerum in the 1890s"" in Armenian Karin/Erzerum, ed. R. G. Hovannisian (2003)]",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfspk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfspk/manifest
Sachtleben (William) Images of Armenian Massacre,ark:/21198/zz002hfsq3,ark:/21198/zz002hj450|~|ark:/21198/zz001nx6sg,Work,,sachtleben_massacre/image/uclamss_1841_0326.tif,still image,"University of California, Los Angeles. $b Library Special Collections","Sachtleben, William Lewis",pd,black-and-white photographs|~|cellulose nitrate film,"Armenian massacres, 1894-1896 $z Turkey $z Erzurum|~|Cemeteries $z Turkey $z Erzurum|~|Dead persons $z Turkey $z Erzurum|~|Mass burials $z Turkey $z Erzurum|~|Armenia $x History $y 1801-1900",,"On Wednesday, October 30, 1895, Armenians were massacred in Erzurum and the surrounding Armenian villages. American journalist William Sachtleben happened to be in Erzurum at that time, investigating the disappearance of American cyclist Frank Lenz. During the massacre Sachtleben was in the American mission building, where over 200 Armenians fled for protection. Sachtleben witnessed the aftermath of the massacre; he took photographs of the victims in the Armenian Cemetery and wrote three lengthy and detailed letters about the massacre that were published, unsigned and attributed to an Occasional Correspondent, in the London Times on November 16, 27 and December 9. In the Nov. 16 letter he wrote: ""Saturday, Nov. 2...I went with one of the cavasses of the English Legation, a soldier, my interpreter, and a photographer (Armenian) to the Armenian Gregorian Cemetery. The municipality had sent down a number of bodies, friends had brought more, and a horrible sight met my eyes. Along the wall on the north in a row 20ft. wide and 150ft. long, lay 321 dead bodies of the massacred Armenians...""|~|Photograph of rows of Armenian massacre victims interred in a mass grave in the Armenian cemetery in Erzurum. Four men place a body on the ground, while others holding shovels pause and watch or look towards the photographer. The grave is lined by a row of mourners, with tall trees visible behind them.","Armenian massacre victims interred in a mass grave in the Armenian Gregorian Cemetery, Erzurum, Turkey, 1895",uclamss_1841_0326,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Sachtleben (William Lewis) Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","November 2, 1895",1895-11-02,Turkey--Erzurum,"""The Trench Dug for the Bodies of the Victims: A Scene in the Cemetery. This photograph shows the horrible spectacle presented to the visitors to the Armenian cemetery two days after the massacre. Two rows of dead, thirty-five deep, had already been laid down and partially covered with the earth by labourers. When the photograph was taken, four men had just deposited another corpse, and so started a third row. The open spaces between the bodies were filled up with the skulls, thigh bones, and other human remains from the graves disturbed by digging a huge grave fifty-three feet square for the reception of the slaughtered Armenians."" [""The Massacre at Erzeroum, October 30, 1895: From  Photographs Taken on the Three Following Days."" The Graphic: An Illustrated Weekly Newspaper, Dec. 7, 1895. Quoted in  Gia Aivazian, ""The W. L. Sachtleben Papers on Erzerum in the 1890s"" in Armenian Karin/Erzerum, ed. R. G. Hovannisian (2003)]",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hfsq3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfsq3/manifest
