Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz000s2z4b,,2,Completed,Collection,,,,,,,,,,still image|~|text,copyrighted,,,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Freedom of speech|~|Violence in mass media|~|Sex in mass media|~|Women--Violence against,,eng,,,,,June L. Mazer Lesbian Archives,,,Women Against Violence Against Women (WAVAW) Collection,,Between 1964 and 1994,,1964/1994,,"The Women Against Violence Against Women(WAVAW) Collection is a mixture of papers and organizational records, publications, ephemera and audio-visual materials collected by organization member Dani Adams (national office in Los Angeles). Of particular interest are the internal memos and complete run of national newsletters produced by the Los Angeles Chapter for national chapter distribution and slides and scripts from the WAVAW slide show, the presentation that chapter members showed to audiences nationwide. There is also extensive coverage of WAVAW's actions against the film ""Snuff"" and the Rolling Stones' ""Black and Blue"" advertising campaign and national boycott of Warner Communications, Inc. (WCI)."
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001633fq,ark:/21198/zz000s2z4b,2,Completed,Work,,1,,,,,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,Rape|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,,,,WAVAW: Women Against Violence Against Women [newsletter],Between 1977 and 1983,,"Full run of the national newsletters produced by the Los Angeles chapter of WAVAW.|~|Women Against Violence Against Women Collection: Box 8, 3 Folders.",1977/1983,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001633g7,ark:/21198/zz001633fq,2,Completed,Page,,1,,,,,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,,,eng,,,,,,,,Newsletter No. 1,,"May, 1977",,1977-05,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175gc9,ark:/21198/zz001633g7,2,Completed,Page,wavav/images/masters/21198-zz00175gc9_495346_master.tif,1,,,,,,,,,copyrighted,,,,,,,,,,,,,,,,Page 1,,,,,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175gdt,ark:/21198/zz001633g7,2,Completed,Page,wavav/images/masters/21198-zz00175gdt-1-master.tif,2,,,,,,,,,copyrighted,,,,,,,,,,,,,,,,Page 2,,,,,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175gfb,ark:/21198/zz001633g7,2,Completed,Page,wavav/images/masters/21198-zz00175gfb-1-master.tif,3,,,,,,,,,copyrighted,,,,,,,,,,,,,,,,Page 3,,,,,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175ggv,ark:/21198/zz001633g7,2,Completed,Page,wavav/images/masters/21198-zz00175ggv-1-master.tif,4,,,,,,,,,copyrighted,,,,,,,,,,,,,,,,Page 4,,,,,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175ghc,ark:/21198/zz001633fq,2,Completed,Page,,2,,,,,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,,,eng,,,,,,,,Newsletter No. 2,,"August, 1977",,1977-08,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175gjw,ark:/21198/zz001633fq,2,Completed,Page,,3,,,,,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,,,eng,,,,,,,,Newsletter No. 3,,"November, 1977",,1977-11,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175gkd,ark:/21198/zz001633fq,2,Completed,Page,,4,,,,,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,,,eng,,,,,,,,Newsletter No. 4,,"March, 1978",,1977-03,,
