File Name,Parent ARK,Parent ARK - ingest,Item ARK,Object Type,Item Sequence,Title,Visibility,AltTitle.other,Type.typeOfResource,Date.creation,Date.normalized,Name.architect,Artist,Author,Name.creator,Name.photographer,Photocopier,Creator 1 Source|~|Creator 2 Source,Description.note,Description.abstract,Format.extent,Description.caption,Rights.copyrightStatus,Copyright Statement,Rights.rightsHolderName,Copyright Holder 1 Source,Rights.servicesContact,Series,Sub-series,Name.subject,Subject.name Role,Subject.name Source,Subject topic,Subject.topic Source,Subject place,Place Source,Description.latitude,Description.longitude,Type.genre,Genre Source,Source?,Physical Location,Thumbnail,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Masters/othermasters/dl_miriammatthews/box07/uclalsc_1889_b07_f01_001.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z19p4jms,Work,,"Lorenzo Bowdoin receives an award from the Women's Sunday Morning Breakfast Club, Los Angeles, 1962",,"Lorenzo Bowdoin, NAACP leader",still image,"November 11, 1962",1962-11-11,,,,,,,,"Text from newspaper caption: Bowdoin overwhelmed -- Lorenzo Bowdoin was cited by Women's Sunday Morning Breakfast Club for his contributions to the community for the past 50 years at its ""This is Your Life"" program Sunday. From left: Mrs. Theresa Lindsay, club president; Bowdoin; Fay Jackson, who narrated the story of Bowdoin's life; and Frances Vaughn, his daughter. [newspaper not identified]   |~|Lorenzo Bowdoin was a Los Angeles businessman, civic leader, philanthropist and NAACP leader. One of the first three black clerks hired by the Los Angeles Post Office in 1906, he worked there for 38 years and improved hiring and promotion policies for blacks. He was one of the organizers of Angelus Mortuary (1925) and was the treasurer for many years. He was also a member of the board of directors of the Haitian Coffee Co. He was active in many civic organizations including the Metropolitan YMCA.",,1 photograph,,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Bowdoin, Lorenzo, 1886-1972|~|Bowdoin, Frances Lillian, 1916-1996|~|Lindsay, Theresa, 1905-1984|~|Jackson, Fay M., 1902-1979",,local|~|local|~|local|~|local,African American businesspeople|~|Award presentations|~|African American philanthropists|~|African American civic leaders,lcsh|~|lcsh|~|lcsh|~|lcsh,Los Angeles (Calif.),lcsh,,,clippings,aat,"Lorenzo Bowdoin ; Lorenzo Bowdoin, NAACP leader","Box 7, Folder 1",,,,
Masters/othermasters/dl_miriammatthews/box07/uclalsc_1889_b07_f01_002.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z15x3szz,Work,,"Newspaper article about the Women's Sunday Morning Breakfast club tribute to Lorenzo Bowdoin, 1962",,"Lorenzo Bowdoin, NAACP leader",still image,November 1962,1962-11,,,,,,,,"Newspaper article: C. Marie Hughes, ""Breakfasters Honor Lorenzo Bowdoin.""  |~|Lorenzo Bowdoin was a Los Angeles businessman, civic leader, philanthropist and NAACP leader. One of the first three black clerks hired by the Los Angeles Post Office in 1906, he worked there for 38 years and improved hiring and promotion policies for blacks. He was one of the organizers of Angelus Mortuary (1925) and was the treasurer for many years. He was also a member of the board of directors of the Haitian Coffee Co. He was active in many civic organizations including the Metropolitan YMCA.",,1 photograph,,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Bowdoin, Lorenzo, 1886-1972",,local,African American businesspeople|~|Awards|~|African American philanthropists|~|African American civic leaders,lcsh|~|lcsh|~|lcsh|~|lcsh,,,,,clippings,aat,"Lorenzo Bowdoin ; Lorenzo Bowdoin, NAACP leader","Box 7, Folder 1",,,,
Masters/othermasters/dl_miriammatthews/box07/uclalsc_1889_b07_f01_003.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1281rmt,Work,,"Maurice Dawkins and Lorenzo Bowdoin at a gathering, Los Angeles (?), circa 1962",,"Lorenzo Bowdoin, NAACP leader",still image,[circa 1962],1962,,,,,,,,"Maurice Dawkins (standing, left), Lorenzo Bowdoin (seated, left) and two men watch as a woman and another man holds a piece of paper, perhaps an award. |~|Lorenzo Bowdoin was a Los Angeles businessman, civic leader, philanthropist and NAACP leader. One of the first three black clerks hired by the Los Angeles Post Office in 1906, he worked there for 38 years and improved hiring and promotion policies for blacks. He was one of the organizers of Angelus Mortuary (1925) and was the treasurer for many years. He was also a member of the board of directors of the Haitian Coffee Co. He was active in many civic organizations including the Metropolitan YMCA.|~|Reverend Maurice A. Dawkins was a pastor of the Peoples Independent Church of Christ. He was also president of the National Association for the Advancement of Colored People, and was active in the Urban League, the Congress of Racial Equality, and served as the western regional organizer for the March on Washington, D.C.",,1 photograph,,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Bowdoin, Lorenzo, 1886-1972|~|Dawkins, Maurice A. (Maurice Anderson), 1921-2001",,local|~|local,African American businesspeople|~|African American philanthropists|~|African American civic leaders,lcsh|~|lcsh|~|lcsh,Los Angeles (Calif.),lcsh,,,photographs,aat,"Lorenzo Bowdoin ; Lorenzo Bowdoin, NAACP leader","Box 7, Folder 1",,,,
Masters/othermasters/dl_miriammatthews/box07/uclalsc_1889_b07_f01_004.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1xh1878,Work,,"Frankie Bowdoin (?), Los Angeles, circa 1950",,"Lorenzo Bowdoin, NAACP leader",still image,[circa 1950],1950,,,,,,,,"Portrait of an elderly woman, probably Frankie Bowdoin, wife of Lorenzo Bowdoin. |~|Lorenzo Bowdoin was a Los Angeles businessman, civic leader, philanthropist and NAACP leader. One of the first three black clerks hired by the Los Angeles Post Office in 1906, he worked there for 38 years and improved hiring and promotion policies for blacks. He was one of the organizers of Angelus Mortuary (1925) and was the treasurer for many years. He was also a member of the board of directors of the Haitian Coffee Co. He was active in many civic organizations including the Metropolitan YMCA.",,1 photograph,,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Bowdoin, Frankie, 1886-1952",,local,African American women,lcsh,Los Angeles (Calif.),lcsh,,,Portrait photographs,tgm,"Lorenzo Bowdoin ; Lorenzo Bowdoin, NAACP leader","Box 7, Folder 1",,,,
Masters/othermasters/dl_miriammatthews/box07/uclalsc_1889_b07_f01_005.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1sr0hhj,Work,,"Lorenzo Bowdoin with Theresa Lindsay receiving an award from the Women's Sunday Morning Breakfast Club, Los Angeles, 1962",,"Lorenzo Bowdoin, NAACP leader",still image,"November 11, 1962",1962-11-11,,,,,,,,"Lorenzo Bowdoin holds a book and Theresa Lindsay holds his awards when he was honored by Women's Sunday Morning Breakfast Club for his contributions to the community for the past 50 years at its ""This is Your Life"" program Sunday. Lindsay was president of the club. |~|Lorenzo Bowdoin was a Los Angeles businessman, civic leader, philanthropist and NAACP leader. One of the first three black clerks hired by the Los Angeles Post Office in 1906, he worked there for 38 years and improved hiring and promotion policies for blacks. He was one of the organizers of Angelus Mortuary (1925) and was the treasurer for many years. He was also a member of the board of directors of the Haitian Coffee Co. He was active in many civic organizations including the Metropolitan YMCA.",,1 photograph,,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Bowdoin, Lorenzo, 1886-1972|~|Lindsay, Theresa, 1905-1984",,local|~|local,African American businesspeople|~|Award presentations|~|African American philanthropists|~|African American civic leaders,lcsh|~|lcsh|~|lcsh|~|lcsh,Los Angeles (Calif.),lcsh,,,photographs,aat,"Lorenzo Bowdoin ; Lorenzo Bowdoin, NAACP leader","Box 7, Folder 1",,,,
Masters/othermasters/dl_miriammatthews/box07/uclalsc_1889_b07_f01_006.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1nz9rpx,Work,,"Lorenzo Bowdoin with Frances Vaughn and Reuben Bowdoin Vaughn, Los Angeles, circa 1962",,"Lorenzo Bowdoin, NAACP leader",still image,[circa 1962],1962,,,,,,,,"Studio portrait of Lorenzo Bowdoin (seated), his daughter, Frances Vaughn, and grandson, Reuben Bowdoin Vaughn. |~|Lorenzo Bowdoin was a Los Angeles businessman, civic leader, philanthropist and NAACP leader. One of the first three black clerks hired by the Los Angeles Post Office in 1906, he worked there for 38 years and improved hiring and promotion policies for blacks. He was one of the organizers of Angelus Mortuary (1925) and was the treasurer for many years. He was also a member of the board of directors of the Haitian Coffee Co. He was active in many civic organizations including the Metropolitan YMCA.",,1 photograph,,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Bowdoin, Lorenzo, 1886-1972|~|Vaughn, Frances Lillian Bowdoin, 1916-1996|~|Vaughn, Reuben Bowdoin",,local|~|local|~|local,African American businesspeople,lcsh,Los Angeles (Calif.),lcsh,,,Portrait photographs,tgm,"Lorenzo Bowdoin ; Lorenzo Bowdoin, NAACP leader","Box 7, Folder 1",,,,
Masters/othermasters/dl_miriammatthews/box07/uclalsc_1889_b07_f01_007.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1j690xf,Work,,"Lorenzo Bowdoin receives an award from the Women's Sunday Morning Breakfast Club, Los Angeles, 1962",,"Lorenzo Bowdoin, NAACP leader",still image,"November 11, 1962",1962-11-11,,,,,,,,"Lorenzo Bowdoin is cited by Women's Sunday Morning Breakfast Club for his contributions to the community for the past 50 years at its ""This is Your Life"" program. He is seated at a table with a trophy and flowers, with family members standing behind him. |~|Text from newspaper caption: Family members: daughter Frances Vaughn, grandson Reuben Vaughn, and nephews Otis and George Bowdoin gather around ""This Is Your Life principal."" Los Angeles Sentinel, 15 Nov. 1962: A8. |~|Lorenzo Bowdoin was a Los Angeles businessman, civic leader and philanthropist. One of the first three black clerks hired by the Los Angeles Post Office in 1906, he worked there for 38 years and improved hiring and promotion policies for blacks. He was one of the organizers of Angelus Mortuary (1925) and was the treasurer for many years. He was also a member of the board of directors of the Haitian Coffee Co. He was active in many civic organizations including the Metropolitan YMCA.",,1 photograph,,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Bowdoin, Lorenzo, 1886-1972|~|Bowdoin, Frances Lillian, 1916-1996|~|Vaughn, Reuben Bowdoin|~|Bowdoin, Otis, 1918-1989|~|Bowdoin, George",,local|~|local|~|local|~|local|~|local,African American businesspeople|~|Award presentations|~|African American philanthropists|~|African American civic leaders,lcsh|~|lcsh|~|lcsh|~|lcsh,Los Angeles (Calif.),lcsh,,,Portrait photographs,tgm,"Lorenzo Bowdoin ; Lorenzo Bowdoin, NAACP leader","Box 7, Folder 1",,,,
Masters/othermasters/dl_miriammatthews/box07/uclalsc_1889_b07_f01_008.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1df8864,Work,,"Bowdoin family, Los Angeles, circa 1940",,"Lorenzo Bowdoin, NAACP leader",still image,[circa 1940],1940,,,,,"Cloud's Studio, L. A. ",,local,"Portrait of the Bowdoin family. Seated, left to right: Frankie Bowdoin, Frances Bowdoin, and Lorenzo Bowdoin. Standing: Lorenzo Bowdoin (Jr.).  |~|Lorenzo Bowdoin was a Los Angeles businessman, civic leader, philanthropist and NAACP leader. One of the first three black clerks hired by the Los Angeles Post Office in 1906, he worked there for 38 years and improved hiring and promotion policies for blacks. He was one of the organizers of Angelus Mortuary (1925) and was the treasurer for many years. He was also a member of the board of directors of the Haitian Coffee Co. He was active in many civic organizations including the Metropolitan YMCA.",,1 photograph,,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Bowdoin, Frankie, 1886-1952|~|Bowdoin, Frances Lillian, 1916-1996|~|Bowdoin, Lorenzo, 1886-1972|~|Bowdoin, Lorenzo, 1913-2006",,local|~|local|~|local|~|local,African American businesspeople,lcsh,Los Angeles (Calif.),lcsh,,,Portrait photographs,tgm,"Lorenzo Bowdoin ; Lorenzo Bowdoin, NAACP leader","Box 7, Folder 1",,,,
Masters/othermasters/dl_miriammatthews/box07/uclalsc_1889_b07_f01_009.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z18p7hkr,Work,,"Lorenzo Bowdoin, Los Angeles, circa 1950",,"Lorenzo Bowdoin, NAACP leader",still image,[circa 1950],1950,,,,,,,,"Studio portrait of Lorenzo Bowdoin. |~|Lorenzo Bowdoin was a Los Angeles businessman, civic leader, philanthropist and NAACP leader. One of the first three black clerks hired by the Los Angeles Post Office in 1906, he worked there for 38 years and improved hiring and promotion policies for blacks. He was one of the organizers of Angelus Mortuary (1925) and was the treasurer for many years. He was also a member of the board of directors of the Haitian Coffee Co. He was active in many civic organizations including the Metropolitan YMCA.",,1 photograph,,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Bowdoin, Lorenzo, 1886-1972",,local,African American businesspeople|~|African American philanthropists|~|African American civic leaders,lcsh|~|lcsh|~|lcsh,Los Angeles (Calif.),lcsh,,,Portrait photographs,tgm,"Lorenzo Bowdoin ; Lorenzo Bowdoin, NAACP leader","Box 7, Folder 1",,,,
Masters/othermasters/dl_miriammatthews/box07/uclalsc_1889_b07_f01_010.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1515g7m,Work,,"Postmaster Leslie N. Shaw receives the Distinguished Citizen Award at the Ambassador Hotel, Los Angeles, 1964",,"Lorenzo Bowdoin, NAACP leader",still image,"February 22, 1964",1964-02-22,,,,,,,,"Postmaster Leslie N. Shaw holds his Distinguished Citizen Award. Beside him are former recipients, left to right: Judge Vaino Spencer (1962), Vassie D. Wright (1961) and Lorenzo Bowdoin (1960). They are at the award ceremony held at the Ambassador Hotel. |~|Lorenzo Bowdoin was a Los Angeles businessman, civic leader, philanthropist and NAACP leader. One of the first three black clerks hired by the Los Angeles Post Office in 1906, he worked there for 38 years and improved hiring and promotion policies for blacks. He was one of the organizers of Angelus Mortuary (1925) and was the treasurer for many years. He was also a member of the board of directors of the Haitian Coffee Co. He was active in many civic organizations including the Metropolitan YMCA.|~|Leslie N. Shaw was the vice-president of Family Savings & Loan Association when President John F. Kennedy appointed him the first black postmaster of Los Angeles (1963-1969), and of any major U. S. city. Later he became the president of the Great Western Financial Corporation. |~|Honorable Vaino Hassan Spencer, State Appeal Court Justice, was the first black woman to be appointed to judgeship in the state of California and the third in the nation.  |~|Vassie Wright was the founder and president of Our Authors Study Club, and a champion of the study of Black history.",,1 photograph,,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",,"Shaw, Leslie N., -1985|~|Spencer, Vaino Hassan, 1920-2016|~|Wright, Vassie Davis, 1893-1983|~|Bowdoin, Lorenzo, 1886-1972|~|Ambassador Hotel",,naf|~|local|~|local|~|local|~|naf,Award presentations|~|African American civic leaders|~|African American judges|~|African American postmasters,lcsh|~|lcsh|~|lcsh|~|lcsh,Los Angeles (Calif.),lcsh,34.060367,-118.29703,photographs,aat,"Lorenzo Bowdoin ; Lorenzo Bowdoin, NAACP leader","Box 7, Folder 1",,,,
