File Name,Object Type,Title,ark_number,Parent ARK,Rights.copyrightStatus,Type.typeOfResource
uclalsc_bioms111_b05_001.tif,Page,Front cover,,,,
uclalsc_bioms111_b05_002.tif,Page,Inside front cover,,,,
uclalsc_bioms111_b05_003.tif,Page,Flyleaf,,,,
uclalsc_bioms111_b05_004.tif,Page,Page 1,,,,
uclalsc_bioms111_b05_005.tif,Page,Page 2,,,,
uclalsc_bioms111_b05_006.tif,Page,Page 3,,,,
uclalsc_bioms111_b05_007.tif,Page,Page 4,,,,
uclalsc_bioms111_b05_008.tif,Page,Page 5,,,,
uclalsc_bioms111_b05_009.tif,Page,Page 6,,,,
uclalsc_bioms111_b05_010.tif,Page,Page 7,,,,
uclalsc_bioms111_b05_011.tif,Page,Page 8,,,,
uclalsc_bioms111_b05_012.tif,Page,Page 9,,,,
uclalsc_bioms111_b05_013.tif,Page,Page 10,,,,
uclalsc_bioms111_b05_014.tif,Page,Page 11,,,,
uclalsc_bioms111_b05_015.tif,Page,Page 12,,,,
uclalsc_bioms111_b05_016.tif,Page,Page 13,,,,
uclalsc_bioms111_b05_017.tif,Page,Page 14,,,,
uclalsc_bioms111_b05_018.tif,Page,Page 15,,,,
uclalsc_bioms111_b05_019.tif,Page,Page 16,,,,
uclalsc_bioms111_b05_020.tif,Page,Page 17,,,,
uclalsc_bioms111_b05_021.tif,Page,Page 18,,,,
uclalsc_bioms111_b05_022.tif,Page,Page 19,,,,
uclalsc_bioms111_b05_023.tif,Page,Page 20,,,,
uclalsc_bioms111_b05_024.tif,Page,Page 21,,,,
uclalsc_bioms111_b05_025.tif,Page,Page 22,,,,
uclalsc_bioms111_b05_026.tif,Page,Page 23,,,,
uclalsc_bioms111_b05_027.tif,Page,Page 24,,,,
uclalsc_bioms111_b05_028.tif,Page,Page 25,,,,
uclalsc_bioms111_b05_029.tif,Page,Page 26,,,,
uclalsc_bioms111_b05_030.tif,Page,Page 27,,,,
uclalsc_bioms111_b05_031.tif,Page,Page 28,,,,
uclalsc_bioms111_b05_032.tif,Page,Page 29,,,,
uclalsc_bioms111_b05_033.tif,Page,Page 30,,,,
uclalsc_bioms111_b05_034.tif,Page,Page 31,,,,
uclalsc_bioms111_b05_035.tif,Page,Page 32,,,,
uclalsc_bioms111_b05_036.tif,Page,Page 33,,,,
uclalsc_bioms111_b05_037.tif,Page,Page 34,,,,
uclalsc_bioms111_b05_038.tif,Page,Page 35,,,,
uclalsc_bioms111_b05_039.tif,Page,Page 36,,,,
uclalsc_bioms111_b05_040.tif,Page,Page 37,,,,
uclalsc_bioms111_b05_041.tif,Page,Page 38,,,,
uclalsc_bioms111_b05_042.tif,Page,Page 39,,,,
uclalsc_bioms111_b05_043.tif,Page,Page 40,,,,
uclalsc_bioms111_b05_044.tif,Page,Page 41,,,,
uclalsc_bioms111_b05_045.tif,Page,Page 42,,,,
uclalsc_bioms111_b05_046.tif,Page,Page 43,,,,
uclalsc_bioms111_b05_047.tif,Page,Page 44,,,,
uclalsc_bioms111_b05_048.tif,Page,Page 45,,,,
uclalsc_bioms111_b05_049.tif,Page,Page 46,,,,
uclalsc_bioms111_b05_050.tif,Page,Page 47,,,,
uclalsc_bioms111_b05_051.tif,Page,Page 48,,,,
uclalsc_bioms111_b05_052.tif,Page,Page 49,,,,
uclalsc_bioms111_b05_053.tif,Page,Page 50,,,,
uclalsc_bioms111_b05_054.tif,Page,Page 51,,,,
uclalsc_bioms111_b05_055.tif,Page,Page 52,,,,
uclalsc_bioms111_b05_056.tif,Page,Page 53,,,,
uclalsc_bioms111_b05_057.tif,Page,Page 54,,,,
uclalsc_bioms111_b05_058.tif,Page,Page 55,,,,
uclalsc_bioms111_b05_059.tif,Page,Page 56,,,,
uclalsc_bioms111_b05_060.tif,Page,Page 57,,,,
uclalsc_bioms111_b05_061.tif,Page,Page 58,,,,
uclalsc_bioms111_b05_062.tif,Page,Page 59,,,,
uclalsc_bioms111_b05_063.tif,Page,Page 60,,,,
uclalsc_bioms111_b05_064.tif,Page,Page 61,,,,
uclalsc_bioms111_b05_065.tif,Page,Page 62,,,,
uclalsc_bioms111_b05_066.tif,Page,Page 63,,,,
uclalsc_bioms111_b05_067.tif,Page,Page 64,,,,
uclalsc_bioms111_b05_068.tif,Page,Page 65,,,,
uclalsc_bioms111_b05_069.tif,Page,Page 66,,,,
uclalsc_bioms111_b05_070.tif,Page,Page 67,,,,
uclalsc_bioms111_b05_071.tif,Page,Page 68,,,,
uclalsc_bioms111_b05_072.tif,Page,Page 69,,,,
uclalsc_bioms111_b05_073.tif,Page,Page 70,,,,
uclalsc_bioms111_b05_074.tif,Page,Page 71,,,,
uclalsc_bioms111_b05_075.tif,Page,Page 72,,,,
uclalsc_bioms111_b05_076.tif,Page,Page 73,,,,
uclalsc_bioms111_b05_077.tif,Page,Page 74,,,,
uclalsc_bioms111_b05_078.tif,Page,Page 75,,,,
uclalsc_bioms111_b05_079.tif,Page,Page 76,,,,
uclalsc_bioms111_b05_080.tif,Page,Page 77,,,,
uclalsc_bioms111_b05_081.tif,Page,Page 78,,,,
uclalsc_bioms111_b05_082.tif,Page,Page 79,,,,
uclalsc_bioms111_b05_083.tif,Page,Page 80,,,,
uclalsc_bioms111_b05_084.tif,Page,Page 81,,,,
uclalsc_bioms111_b05_085.tif,Page,Page 82,,,,
uclalsc_bioms111_b05_086.tif,Page,Page 83,,,,
uclalsc_bioms111_b05_087.tif,Page,Page 84,,,,
uclalsc_bioms111_b05_088.tif,Page,Page 85,,,,
uclalsc_bioms111_b05_089.tif,Page,Page 86,,,,
uclalsc_bioms111_b05_090.tif,Page,Page 87,,,,
uclalsc_bioms111_b05_091.tif,Page,Page 88,,,,
uclalsc_bioms111_b05_092.tif,Page,Page 89,,,,
uclalsc_bioms111_b05_093.tif,Page,Page 90,,,,
uclalsc_bioms111_b05_094.tif,Page,Page 91,,,,
uclalsc_bioms111_b05_095.tif,Page,Page 92,,,,
uclalsc_bioms111_b05_096.tif,Page,Page 93,,,,
uclalsc_bioms111_b05_097.tif,Page,Page 94,,,,
uclalsc_bioms111_b05_098.tif,Page,Page 95,,,,
uclalsc_bioms111_b05_099.tif,Page,Page 96,,,,
uclalsc_bioms111_b05_100.tif,Page,Page 97,,,,
uclalsc_bioms111_b05_101.tif,Page,Page 98,,,,
uclalsc_bioms111_b05_102.tif,Page,Page 99,,,,
uclalsc_bioms111_b05_103.tif,Page,Page 100,,,,
uclalsc_bioms111_b05_104.tif,Page,Page 101,,,,
uclalsc_bioms111_b05_105.tif,Page,Page 102,,,,
uclalsc_bioms111_b05_106.tif,Page,Page 103,,,,
uclalsc_bioms111_b05_107.tif,Page,Page 104,,,,
uclalsc_bioms111_b05_108.tif,Page,Page 105,,,,
uclalsc_bioms111_b05_109.tif,Page,Page 106,,,,
uclalsc_bioms111_b05_110.tif,Page,Page 107,,,,
uclalsc_bioms111_b05_111.tif,Page,Page 108,,,,
uclalsc_bioms111_b05_112.tif,Page,Page 109,,,,
uclalsc_bioms111_b05_113.tif,Page,Page 110,,,,
uclalsc_bioms111_b05_114.tif,Page,Page 111,,,,
uclalsc_bioms111_b05_115.tif,Page,Page 112,,,,
uclalsc_bioms111_b05_116.tif,Page,Page 113,,,,
uclalsc_bioms111_b05_117.tif,Page,Page 114,,,,
uclalsc_bioms111_b05_118.tif,Page,Page 115,,,,
uclalsc_bioms111_b05_119.tif,Page,Page 116,,,,
uclalsc_bioms111_b05_120.tif,Page,Page 117,,,,
uclalsc_bioms111_b05_121.tif,Page,Page 118,,,,
uclalsc_bioms111_b05_122.tif,Page,Page 119,,,,
uclalsc_bioms111_b05_123.tif,Page,Page 120,,,,
uclalsc_bioms111_b05_124.tif,Page,Page 121,,,,
uclalsc_bioms111_b05_125.tif,Page,Page 122,,,,
uclalsc_bioms111_b05_126.tif,Page,Page 123,,,,
uclalsc_bioms111_b05_127.tif,Page,Page 124,,,,
uclalsc_bioms111_b05_128.tif,Page,Page 125,,,,
uclalsc_bioms111_b05_129.tif,Page,Page 126,,,,
uclalsc_bioms111_b05_130.tif,Page,Page 127,,,,
uclalsc_bioms111_b05_131.tif,Page,Page 128,,,,
uclalsc_bioms111_b05_132.tif,Page,Flyleaf,,,,
uclalsc_bioms111_b05_133.tif,Page,Inside back cover,,,,
uclalsc_bioms111_b05_134.tif,Page,Back cover,,,,
