File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Text direction,Parent ARK,Item ARK,Object Type,Rights.statementLocal
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_001.tif,1,,Inside Front Cover,,,,,sw43zc5x,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_002.tif,2,,Page 1,,,,,h008p740,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_003.tif,3,,Page 2,,,,,hq11sf52,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_004.tif,4,,Page 3,,,,,pp08t512,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_005.tif,5,,Page 4,,,,,r561km34,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_006.tif,6,,Page 5,,,,,m130cp0d,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_007.tif,7,,Page 6,,,,,t782tc9s,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_008.tif,8,,Page 7,,,,,sp936f14,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_009.tif,9,,Page 8,,,,,sm13n143,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_010.tif,10,,Page 9,,,,,cp48h463,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_011.tif,11,,Page 10,,,,,nr369p11,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_012.tif,12,,Page 11,,,,,rr78jz2d,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_013.tif,13,,Page 12,,,,,dx14801w,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_014.tif,14,,Page 13,,,,,zb31w08j,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_015.tif,15,,Page 14,,,,,zq12hq98,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_016.tif,16,,Page 15,,,,,5c072v0v,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_017.tif,17,,Page 16,,,,,rf63pv27,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_018.tif,18,,Page 17,,,,,z361dk5q,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_019.tif,19,,Page 18,,,,,k366wj5c,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_020.tif,20,,Page 19,,,,,m8574s4q,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_021.tif,21,,Page 20,,,,,kw38b18z,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_022.tif,22,,Page 21,,,,,b6006w3s,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_023.tif,23,,Page 22,,,,,s771nv2w,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_024.tif,24,,Page 23,,,,,wc64p29k,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_025.tif,25,,Page 24,,,,,ck25d84d,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_026.tif,26,,Page 25,,,,,bd72978m,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_027.tif,27,,Page 26,,,,,pv76649b,Page,
/Volumes/DLPartners/SRLF/Toganoo2/pages/3045195/ucla_3045195_028.tif,28,,Inside Back Cover,,,,,sm345887,Page,
