File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Text direction,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_001.tif,1,,,,,,,sw43zc5x,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_002.tif,2,,,,,,,h008p740,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_003.tif,3,,,,,,,hq11sf52,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_004.tif,4,,,,,,,pp08t512,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_005.tif,5,,,,,,,r561km34,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_006.tif,6,,,,,,,m130cp0d,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_007.tif,7,,,,,,,t782tc9s,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_008.tif,8,,,,,,,sp936f14,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_009.tif,9,,,,,,,sm13n143,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_010.tif,10,,,,,,,cp48h463,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_011.tif,11,,,,,,,nr369p11,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_012.tif,12,,,,,,,rr78jz2d,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_013.tif,13,,,,,,,dx14801w,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_014.tif,14,,,,,,,zb31w08j,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_015.tif,15,,,,,,,zq12hq98,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_016.tif,16,,,,,,,5c072v0v,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_017.tif,17,,,,,,,rf63pv27,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_018.tif,18,,,,,,,z361dk5q,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_019.tif,19,,,,,,,k366wj5c,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_020.tif,20,,,,,,,m8574s4q,Page,
