"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Text direction","Parent ARK","Item ARK","","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_001.tif","1","","Front Cover","","","","ark:/21198/n1x639","sw43zc5x","ark:/21198/n1x639/sw43zc5x","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/sw43zc5x"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_002.tif","2","","Inside Front Cover","","","","ark:/21198/n1x640","h008p740","ark:/21198/n1x640/h008p740","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/h008p740"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_003.tif","3","","Page 1","","","","ark:/21198/n1x641","hq11sf52","ark:/21198/n1x641/hq11sf52","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/hq11sf52"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_004.tif","4","","Page 2","","","","ark:/21198/n1x642","pp08t512","ark:/21198/n1x642/pp08t512","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/pp08t512"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_005.tif","5","","Page 3","","","","ark:/21198/n1x643","r561km34","ark:/21198/n1x643/r561km34","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/r561km34"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_006.tif","6","","Page 4","","","","ark:/21198/n1x644","m130cp0d","ark:/21198/n1x644/m130cp0d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/m130cp0d"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_007.tif","7","","Page 5","","","","ark:/21198/n1x645","t782tc9s","ark:/21198/n1x645/t782tc9s","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/t782tc9s"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_008.tif","8","","Page 6","","","","ark:/21198/n1x646","sp936f14","ark:/21198/n1x646/sp936f14","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/sp936f14"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_009.tif","9","","Page 7","","","","ark:/21198/n1x647","sm13n143","ark:/21198/n1x647/sm13n143","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/sm13n143"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_010.tif","10","","Page 8","","","","ark:/21198/n1x648","cp48h463","ark:/21198/n1x648/cp48h463","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/cp48h463"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_011.tif","11","","Page 9","","","","ark:/21198/n1x649","nr369p11","ark:/21198/n1x649/nr369p11","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/nr369p11"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_012.tif","12","","Page 10","","","","ark:/21198/n1x650","rr78jz2d","ark:/21198/n1x650/rr78jz2d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/rr78jz2d"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_013.tif","13","","Page 11","","","","ark:/21198/n1x651","dx14801w","ark:/21198/n1x651/dx14801w","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/dx14801w"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_014.tif","14","","Page 12","","","","ark:/21198/n1x652","zb31w08j","ark:/21198/n1x652/zb31w08j","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/zb31w08j"
