File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Text direction,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_001.tif,1,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_002.tif,2,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_003.tif,3,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_004.tif,4,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_005.tif,5,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_006.tif,6,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_007.tif,7,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_008.tif,8,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_009.tif,9,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_010.tif,10,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_011.tif,11,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_012.tif,12,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_013.tif,13,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_014.tif,14,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_015.tif,15,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_016.tif,16,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_A10_bib1238978/uclaeal_wahon_A10_bib1238978_017.tif,17,,,,,,,,Page,
