File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Text direction,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_001.tif,1,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_002.tif,2,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_003.tif,3,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_004.tif,4,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_005.tif,5,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_006.tif,6,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_007.tif,7,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_008.tif,8,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_009.tif,9,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_010.tif,10,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_011.tif,11,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_012.tif,12,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_013.tif,13,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_014.tif,14,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_015.tif,15,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_016.tif,16,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_017.tif,17,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_018.tif,18,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_019.tif,19,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_020.tif,20,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_021.tif,21,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_022.tif,22,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_023.tif,23,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_024.tif,24,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_025.tif,25,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_026.tif,26,,,,,,,,Page,
