"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Text direction","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol07/uclaeal_wahon_B08_bib1728441_vol07_001.tif","1","","Front cover","","","","ark:/21198/z1tq7gm3","ark:/21198/z1tq7gm3/sw43zc5x","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7gm3%2Fsw43zc5x"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol07/uclaeal_wahon_B08_bib1728441_vol07_002.tif","2","","Page spread 1","","","","ark:/21198/z1tq7gm3","ark:/21198/z1tq7gm3/h008p740","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7gm3%2Fh008p740"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol07/uclaeal_wahon_B08_bib1728441_vol07_003.tif","3","","Page spread 2","","","","ark:/21198/z1tq7gm3","ark:/21198/z1tq7gm3/hq11sf52","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7gm3%2Fhq11sf52"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol07/uclaeal_wahon_B08_bib1728441_vol07_004.tif","4","","Page spread 3","","","","ark:/21198/z1tq7gm3","ark:/21198/z1tq7gm3/pp08t512","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7gm3%2Fpp08t512"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol07/uclaeal_wahon_B08_bib1728441_vol07_005.tif","5","","Page spread 4","","","","ark:/21198/z1tq7gm3","ark:/21198/z1tq7gm3/r561km34","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7gm3%2Fr561km34"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol07/uclaeal_wahon_B08_bib1728441_vol07_006.tif","6","","Page spread 5","","","","ark:/21198/z1tq7gm3","ark:/21198/z1tq7gm3/m130cp0d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7gm3%2Fm130cp0d"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol07/uclaeal_wahon_B08_bib1728441_vol07_007.tif","7","","Page spread 6","","","","ark:/21198/z1tq7gm3","ark:/21198/z1tq7gm3/t782tc9s","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7gm3%2Ft782tc9s"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol07/uclaeal_wahon_B08_bib1728441_vol07_008.tif","8","","Page spread 7","","","","ark:/21198/z1tq7gm3","ark:/21198/z1tq7gm3/sp936f14","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7gm3%2Fsp936f14"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol07/uclaeal_wahon_B08_bib1728441_vol07_009.tif","9","","Page spread 8","","","","ark:/21198/z1tq7gm3","ark:/21198/z1tq7gm3/sm13n143","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7gm3%2Fsm13n143"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol07/uclaeal_wahon_B08_bib1728441_vol07_010.tif","10","","Page spread 9","","","","ark:/21198/z1tq7gm3","ark:/21198/z1tq7gm3/cp48h463","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7gm3%2Fcp48h463"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol07/uclaeal_wahon_B08_bib1728441_vol07_011.tif","11","","Page spread 10","","","","ark:/21198/z1tq7gm3","ark:/21198/z1tq7gm3/nr369p11","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7gm3%2Fnr369p11"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol07/uclaeal_wahon_B08_bib1728441_vol07_012.tif","12","","Page spread 11","","","","ark:/21198/z1tq7gm3","ark:/21198/z1tq7gm3/rr78jz2d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7gm3%2Frr78jz2d"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol07/uclaeal_wahon_B08_bib1728441_vol07_013.tif","13","","Page spread 12","","","","ark:/21198/z1tq7gm3","ark:/21198/z1tq7gm3/dx14801w","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7gm3%2Fdx14801w"
"Masters/othermasters/dl_wahon/uclaeal_wahon_B08_bib1728441_vol07/uclaeal_wahon_B08_bib1728441_vol07_014.tif","14","","Page spread 13","","","","ark:/21198/z1tq7gm3","ark:/21198/z1tq7gm3/zb31w08j","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7gm3%2Fzb31w08j"
