File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights.statementLocal
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/th93j13n,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/2w083x19,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0003_f_001r.tif,3,discovery,f. 001r,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/8v57gn80,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0004_f_001v.tif,4,discovery,f. 001v,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/m1724790,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0005_f_002r.tif,5,discovery,f. 002r,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/5s473583,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0006_f_002v.tif,6,discovery,f. 002v,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/7344mx78,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0007_f_003r.tif,7,discovery,f. 003r,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/k579c569,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0008_f_003v.tif,8,discovery,f. 003v,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/wb884r4m,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0009_f_004r.tif,9,discovery,f. 004r,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/bz13925g,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0010_f_004v.tif,10,discovery,f. 004v,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/cn78k884,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0011_f_005r.tif,11,discovery,f. 005r,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/s733br2s,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0012_f_005v.tif,12,discovery,f. 005v,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/7844pn9v,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0013_f_006r.tif,13,discovery,f. 006r,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/9060tm9r,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0014_f_006v.tif,14,discovery,f. 006v,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/cb36vx4w,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0015_f_007r.tif,15,discovery,f. 007r,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/2787wb2r,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0016_f_007v.tif,16,discovery,f. 007v,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/jz860k89,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0017_f_008r.tif,17,discovery,f. 008r,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/wp616z3m,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0018_f_008v.tif,18,discovery,f. 008v,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/nw85650n,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0019_f_009r.tif,19,discovery,f. 009r,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/9h665w63,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0020_f_009v.tif,20,discovery,f. 009v,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/x441th9f,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0021_f_010r.tif,21,discovery,f. 010r,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/rh36s81s,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0022_f_010v.tif,22,discovery,f. 010v,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/3z55nx59,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0023_f_011r.tif,23,discovery,f. 011r,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/qd72740w,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0024_f_011v.tif,24,discovery,f. 011v,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/0f96pt5b,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0025_f_012r.tif,25,discovery,f. 012r,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/8k913d05,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0026_f_012v.tif,26,discovery,f. 012v,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/ch012x2q,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0027_f_013r.tif,27,discovery,f. 013r,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/7z97jh0s,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0028_f_013v.tif,28,discovery,f. 013v,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/z105x99f,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0029_f_014r.tif,29,discovery,f. 014r,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/c226bk23,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0030_f_014v.tif,30,discovery,f. 014v,Text,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/wv19dn8z,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0031_y_999.tif,31,discovery,Back Board Inside,Back matter,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/v479d96g,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0032_z_1.tif,32,discovery,Back Board Outside,Back matter,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/zd46rk64,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0033_z_2.tif,33,discovery,Spine,,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/b059db70,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0034_z_3.tif,34,discovery,Fore edge,,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/4r876n12,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0035_z_4.tif,35,discovery,Head,,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/1f29zr8w,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0249/sld_arb0249_0036_z_5.tif,36,discovery,Tail,,,ark:/21198/z12f8rtw,ark:/21198/z12f8rtw/hc563t02,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
